family,method,encoder,dict_learner,dict_learner_impl,implementation,dataset,dataset_id,atoms,classifier,source,n_seeds,status,macro_precision,macro_recall,macro_f1,macro_pr_auc,minority_precision,minority_recall,minority_f1,minority_pr_auc,accuracy,roc_auc,mcc,macro_f1_std,minority_f1_std,minority_pr_auc_std,mcc_std,roc_auc_std,threshold,fit_seconds,run_started,run_id
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,41,128,LogisticRegression,artifact,1,ok,0.6625,0.7333,0.6898,0.6757,0.3525,0.52,0.4202,0.3631,0.9241,0.8662,0.3895,,,,,,0.7317,,20260830_231253,wl_frozen_ksvd_gpu_nci_full_id41_atoms128_20260830_231253_20260830_231312
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,41,128,GradientBoosting,artifact,1,ok,0.6877,0.7407,0.7101,0.7041,0.4023,0.525,0.4555,0.4208,0.9337,0.858,0.4251,,,,,,0.6355,,20260830_231253,wl_frozen_ksvd_gpu_nci_full_id41_atoms128_20260830_231253_20260830_231312
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,41,128,LinearSVM,artifact,1,ok,0.6664,0.7164,0.6872,0.6642,0.3623,0.48,0.4129,0.3408,0.9278,0.8609,0.3795,,,,,,0.1455,,20260830_231253,wl_frozen_ksvd_gpu_nci_full_id41_atoms128_20260830_231253_20260830_231312
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,41,128,RandomForest,artifact,1,ok,0.7307,0.7448,0.7375,0.7367,0.4883,0.52,0.5036,0.4863,0.9458,0.8593,0.4753,,,,,,0.39,,20260830_231253,wl_frozen_ksvd_gpu_nci_full_id41_atoms128_20260830_231253_20260830_231312
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,41,256,LogisticRegression,artifact,1,ok,0.7105,0.7283,0.7189,0.708,0.4495,0.49,0.4689,0.428,0.9413,0.8678,0.4384,,,,,,0.7593,,20260830_231146,wl_frozen_ksvd_gpu_nci_full_id41_atoms256_20260830_231146_20260830_231207
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,41,256,GradientBoosting,artifact,1,ok,0.7337,0.6583,0.6874,0.6877,0.5038,0.335,0.4024,0.3898,0.9474,0.8383,0.3846,,,,,,0.6696,,20260830_231146,wl_frozen_ksvd_gpu_nci_full_id41_atoms256_20260830_231146_20260830_231207
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,41,256,LinearSVM,artifact,1,ok,0.674,0.7359,0.6991,0.6738,0.3755,0.52,0.4361,0.3616,0.9289,0.8533,0.4052,,,,,,0.1349,,20260830_231146,wl_frozen_ksvd_gpu_nci_full_id41_atoms256_20260830_231146_20260830_231207
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,41,256,RandomForest,artifact,1,ok,0.773,0.7301,0.7494,0.734,0.5749,0.48,0.5232,0.4793,0.9537,0.8741,0.5013,,,,,,0.42,,20260830_231146,wl_frozen_ksvd_gpu_nci_full_id41_atoms256_20260830_231146_20260830_231207
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,41,512,LogisticRegression,artifact,1,ok,0.718,0.7687,0.7401,0.7077,0.46,0.575,0.5111,0.4274,0.9418,0.8669,0.484,,,,,,0.752,,20260830_230729,wl_frozen_ksvd_gpu_nci_full_id41_atoms512_20260830_230729_20260830_230755
pipeline,wl+frozen_ksvd,wl,frozen_ksvd,frozen_ksvd_gpu,wl_frozen_ksvd_gpu,nci_full,41,512,GradientBoosting,artifact,1,ok,0.7005,0.667,0.6819,0.6816,0.4364,0.36,0.3945,0.3765,0.9416,0.8387,0.366,,,,,,0.6422,,20260830_230729,wl_frozen_ksvd_gpu_nci_full_id41_atoms512_20260830_230729_20260830_230755
