master_seed,total_atoms,LogisticRegression/Macro-Precision,LogisticRegression/Macro-Recall,LogisticRegression/Macro-F1,LogisticRegression/Macro-PR-AUC,LogisticRegression/Accuracy,LogisticRegression/ROC-AUC,LogisticRegression/MCC,LogisticRegression/Minority-Precision,LogisticRegression/Minority-Recall,LogisticRegression/Minority-F1,LogisticRegression/Minority-PR-AUC,GradientBoosting/Macro-Precision,GradientBoosting/Macro-Recall,GradientBoosting/Macro-F1,GradientBoosting/Macro-PR-AUC,GradientBoosting/Accuracy,GradientBoosting/ROC-AUC,GradientBoosting/MCC,GradientBoosting/Minority-Precision,GradientBoosting/Minority-Recall,GradientBoosting/Minority-F1,GradientBoosting/Minority-PR-AUC,LinearSVM/Macro-Precision,LinearSVM/Macro-Recall,LinearSVM/Macro-F1,LinearSVM/Macro-PR-AUC,LinearSVM/Accuracy,LinearSVM/ROC-AUC,LinearSVM/MCC,LinearSVM/Minority-Precision,LinearSVM/Minority-Recall,LinearSVM/Minority-F1,LinearSVM/Minority-PR-AUC,RandomForest/Macro-Precision,RandomForest/Macro-Recall,RandomForest/Macro-F1,RandomForest/Macro-PR-AUC,RandomForest/Accuracy,RandomForest/ROC-AUC,RandomForest/MCC,RandomForest/Minority-Precision,RandomForest/Minority-Recall,RandomForest/Minority-F1,RandomForest/Minority-PR-AUC,SRC_pure/Macro-Precision,SRC_pure/Macro-Recall,SRC_pure/Macro-F1,SRC_pure/Macro-PR-AUC,SRC_pure/Accuracy,SRC_pure/ROC-AUC,SRC_pure/MCC,SRC_pure/Minority-Precision,SRC_pure/Minority-Recall,SRC_pure/Minority-F1,SRC_pure/Minority-PR-AUC,SRC_fddl/Macro-Precision,SRC_fddl/Macro-Recall,SRC_fddl/Macro-F1,SRC_fddl/Macro-PR-AUC,SRC_fddl/Accuracy,SRC_fddl/ROC-AUC,SRC_fddl/MCC,SRC_fddl/Minority-Precision,SRC_fddl/Minority-Recall,SRC_fddl/Minority-F1,SRC_fddl/Minority-PR-AUC
1,26,0.5636040706605223,0.5800434299895506,0.5704080276448698,0.5489632029668366,0.9128316188413643,0.6744497779519331,0.14270372072186413,0.16666666666666666,0.21264367816091953,0.18686868686868688,0.12367128650610146,0.5935733310512631,0.6446055381400209,0.6115415681264418,0.5966135160009434,0.9109366540335679,0.752135579937304,0.23264756084878457,0.22021660649819494,0.3505747126436782,0.270509977827051,0.21232180790077343,0.5621940972657741,0.5752906217345872,0.5677996535747754,0.5466155367752599,0.9141851651326476,0.6738546564785789,0.13685952288915118,0.1643192488262911,0.20114942528735633,0.18087855297157623,0.1189825317994585,0.6704191005501049,0.7207827194357367,0.6916149636495077,0.6735850420942989,0.9363833243096914,0.8331839407001045,0.38794634919403176,0.36681222707423583,0.4827586206896552,0.41687344913151364,0.3602530771457015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,26,0.5511583653561928,0.6356338166144201,0.5601552359418833,0.5706492276008189,0.8521927449918787,0.7236383228840126,0.16659897172570237,0.13529411764705881,0.39655172413793105,0.20175438596491227,0.16288175316049872,0.6621224045627229,0.6362150600835946,0.6478021614972166,0.6325612710887882,0.941797509474824,0.7825724921630094,0.2972104512187155,0.3586206896551724,0.2988505747126437,0.32601880877742945,0.28142857677937133,0.560914395658088,0.6243697753396029,0.5754121045756422,0.5642037663162941,0.8827828911748782,0.7237215909090908,0.17407940375522996,0.15649867374005305,0.3390804597701149,0.21415607985480944,0.14989207770403593,0.717152209492635,0.7112117946708464,0.7141334238247666,0.6997694721192631,0.9493773687060097,0.8595994971264369,0.4283228122978231,0.46153846153846156,0.4482758620689655,0.45481049562682213,0.411156570796479,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,26,0.5426836938697576,0.6240954806687565,0.5456422805279887,0.5390882312281382,0.8354087709799675,0.676810671368861,0.14555897097033393,0.11929824561403508,0.39080459770114945,0.1827956989247312,0.10610553463248477,0.62259850058825,0.6279437695924764,0.625198131175621,0.5871163537728958,0.9312398484028154,0.7514971917450366,0.25048524357052376,0.2802197802197802,0.29310344827586204,0.28651685393258425,0.195784048144518,0.5525732107187277,0.5911001175548589,0.5633725350439535,0.5380241879659101,0.8922577152138603,0.6735624020376175,0.1384113532440523,0.14331210191082802,0.25862068965517243,0.18442622950819673,0.10412412213202603,0.7266488630505756,0.7067430773249739,0.7161605606097861,0.666683296264595,0.9512723335138061,0.8174887343260188,0.4329345605020813,0.4810126582278481,0.4367816091954023,0.4578313253012048,0.34849735700598733,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,26,0.5786635068439523,0.5734881138975967,0.5759527861059341,0.54717058400197,0.926367081754196,0.6903670323928945,0.1520635755272477,0.19753086419753085,0.1839080459770115,0.19047619047619047,0.12061297252655671,0.6297541523869592,0.6417434038662487,0.6354124120551066,0.5991940304414093,0.931510557661072,0.7782066353187043,0.27123270617761086,0.2931937172774869,0.3218390804597701,0.30684931506849317,0.21633688682919933,0.5811866372644482,0.5740562957157784,0.5773946124634592,0.5480093962601597,0.9274499187872225,0.6897645637408569,0.1550790974622384,0.20253164556962025,0.1839080459770115,0.1927710843373494,0.12215497713232906,0.7164180770584851,0.7057487591431557,0.7109244977529816,0.6797713158421954,0.9493773687060097,0.825895539446186,0.42203199315185175,0.46060606060606063,0.4367816091954023,0.44837758112094395,0.3738140333801173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,26,0.5584467629378843,0.5555478031891229,0.5569414360065096,0.5435532263163161,0.9228478613968598,0.6710800432746215,0.11395769890121371,0.15853658536585366,0.15028901734104047,0.1543026706231454,0.11446869172277399,0.6133428228409573,0.6294142658499868,0.6206857444121577,0.5873920758355184,0.9274499187872225,0.7321602999673306,0.2422245091424697,0.2613065326633166,0.30057803468208094,0.27956989247311825,0.1971152024974061,0.5424158149866974,0.6213109452287103,0.5459145959145959,0.5416215619248322,0.8386572820790471,0.6690427213761199,0.14346431763588272,0.11891891891891893,0.3815028901734104,0.1813186813186813,0.11064909403669287,0.7020158225661577,0.6919958367056127,0.696854666741296,0.6472716764316435,0.9472116946399567,0.7990709746475729,0.393884231120577,0.4329268292682927,0.41040462427745666,0.42136498516320475,0.31186223872976343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,26,0.5419295770633835,0.5966110849354739,0.5494631974003723,0.539499844199884,0.8649160801299405,0.6730205061948704,0.1272927638317126,0.12093023255813953,0.30057803468208094,0.1724709784411277,0.10627297266136382,0.5863051009137463,0.6128833932819269,0.5971310376187186,0.5722073145228055,0.9168922577152139,0.7322276087488283,0.19740732153274174,0.20869565217391303,0.2774566473988439,0.23821339950372208,0.167341374012137,0.5364772841565941,0.5809741058192546,0.5423984642270693,0.5395490312266767,0.8665403356794802,0.6688096031572744,0.10869619068385178,0.11165048543689321,0.2658959537572254,0.15726495726495726,0.10722140087380352,0.7208363044055759,0.7074407395429241,0.7138924687494048,0.6636203931977835,0.9504602057390362,0.7925551562630822,0.4280675007697686,0.4691358024691358,0.4393063583815029,0.4537313432835821,0.3463894628701972,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,26,0.5611940356133496,0.5520395381632582,0.5560669105383522,0.5383156206016998,0.9266377910124526,0.6684714175721888,0.11286291422189475,0.1643835616438356,0.13872832369942195,0.15047021943573669,0.10390453650374756,0.6301459293394778,0.5945819714249597,0.608854967196527,0.6029191731140635,0.9396318354087709,0.7809312580339598,0.22189599879097696,0.29838709677419356,0.2138728323699422,0.24915824915824916,0.22290098721794938,0.5414870751831977,0.5944309370859895,0.5489818404346871,0.5353756086746809,0.865998917162967,0.6581034027051562,0.12518248098685789,0.12028301886792453,0.2947976878612717,0.1708542713567839,0.09908948892449843,0.7367907194189851,0.678772944496522,0.7030951806846071,0.6852872934233912,0.9534380075798592,0.8476597065008791,0.4114937381782706,0.5038759689922481,0.37572254335260113,0.4304635761589404,0.3829812550930557,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,26,0.5510704134030346,0.5869195021019443,0.5613209557457821,0.5526308141950576,0.8935824532900081,0.6938271807672096,0.13325186535478198,0.14052287581699346,0.24855491329479767,0.17954070981210857,0.1302957892625369,0.624546255105922,0.5989383539148713,0.6098931174555616,0.5833445844069338,0.9374492282696995,0.7478397595901208,0.22201262546478348,0.2867647058823529,0.2254335260115607,0.2524271844660194,0.18545337851219992,0.5469430316071878,0.6103364753021545,0.5561478753201284,0.550233727519641,0.8648795017600867,0.6907186022070414,0.14393788448542283,0.12954545454545455,0.32947976878612717,0.1859706362153344,0.12662564407146368,0.6805766896104681,0.7159222280609564,0.6963365735660401,0.6471434640007759,0.9404278364473327,0.7711565620073568,0.39492035225632033,0.3875598086124402,0.4682080924855491,0.42408376963350786,0.31365185962711245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,26,0.5377850846509025,0.6197344653179191,0.5354188843333777,0.539067335219028,0.8199295965339832,0.6772086836573832,0.13452400392001598,0.10952380952380952,0.3988439306358382,0.1718555417185554,0.10642601412007724,0.6403656507134272,0.6495902850761954,0.6447943262862357,0.5989587511017971,0.934470620092066,0.7563706975827641,0.28980916276147833,0.31351351351351353,0.3352601156069364,0.3240223463687151,0.21951552210045822,0.5441209831346413,0.6111452312138728,0.5512799196053353,0.5385540039142511,0.8559436772271866,0.6733241920651603,0.14005480172965276,0.12368972746331237,0.34104046242774566,0.18153846153846154,0.1061778012298441,0.7140512316798925,0.7175775091960064,0.7157973429840553,0.6713408540859904,0.9488220958570268,0.8233381502890174,0.43161433632004526,0.45454545454545453,0.4624277456647399,0.4584527220630373,0.3581618715973786,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,26,0.5468402298940638,0.5785330727798214,0.5558870282466011,0.5468370705751996,0.8933116707284051,0.6815899238045192,0.1213013962540263,0.132890365448505,0.23121387283236994,0.16877637130801687,0.12232613655882615,0.6415718359063937,0.626703724382554,0.6336266669785855,0.6067012838443439,0.9379907933929055,0.7458067853389385,0.2678632403075558,0.3181818181818182,0.2832369942196532,0.2996941896024465,0.23578906581974332,0.5480313876651982,0.5773474448239622,0.5569452688786738,0.5461936551444073,0.8962902789060384,0.6776676629006831,0.12190332410975933,0.13541666666666666,0.2254335260115607,0.16919739696312364,0.12159914378510539,0.689537648243455,0.7225548476090383,0.7044511488004639,0.666861402610412,0.9425940969401571,0.8147489161849711,0.41076768334910485,0.40487804878048783,0.4797687861271676,0.43915343915343913,0.35061484766209433,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
