master_seed,partition,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,seed_total
1,0.014,0.157,15.785,1.836,2.850,0.156,16.092,1.781,2.895,44.233
2,0.013,0.201,13.994,1.372,2.798,0.162,14.006,1.348,2.754,36.679
3,0.013,0.160,14.458,1.685,2.856,0.139,14.079,1.535,2.791,37.745
4,0.015,0.145,13.724,1.756,2.792,0.147,13.586,1.756,2.790,36.739
5,0.014,0.145,13.697,1.574,2.784,0.142,13.608,1.579,2.794,36.363
6,0.014,0.152,13.636,1.413,2.739,0.135,13.868,1.431,2.762,36.179
7,0.014,0.150,14.686,1.817,2.836,0.147,15.012,1.520,2.754,38.962
8,0.014,0.148,14.301,1.915,2.889,0.153,13.721,1.952,2.804,37.924
9,0.014,0.151,13.641,1.669,2.847,0.144,13.652,1.664,2.837,36.648
10,0.020,0.155,13.670,1.789,2.771,0.145,13.689,1.791,2.773,36.839
