metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.5533,0.0123,0.0088,10
LogisticRegression/Macro-Recall,0.5903,0.0285,0.0204,10
LogisticRegression/Macro-F1,0.5567,0.0116,0.0083,10
LogisticRegression/Macro-PR-AUC,0.5466,0.0098,0.0070,10
LogisticRegression/Accuracy,0.8848,0.0394,0.0282,10
LogisticRegression/ROC-AUC,0.6830,0.0164,0.0117,10
LogisticRegression/MCC,0.1350,0.0171,0.0123,10
LogisticRegression/Minority-Precision,0.1446,0.0270,0.0193,10
LogisticRegression/Minority-Recall,0.2652,0.1012,0.0724,10
LogisticRegression/Minority-F1,0.1759,0.0158,0.0113,10
LogisticRegression/Minority-PR-AUC,0.1197,0.0177,0.0127,10
GradientBoosting/Macro-Precision,0.6244,0.0225,0.0161,10
GradientBoosting/Macro-Recall,0.6263,0.0187,0.0134,10
GradientBoosting/Macro-F1,0.6235,0.0168,0.0120,10
GradientBoosting/Macro-PR-AUC,0.5967,0.0163,0.0117,10
GradientBoosting/Accuracy,0.9309,0.0100,0.0072,10
GradientBoosting/ROC-AUC,0.7560,0.0187,0.0134,10
GradientBoosting/MCC,0.2493,0.0321,0.0230,10
GradientBoosting/Minority-Precision,0.2839,0.0449,0.0321,10
GradientBoosting/Minority-Recall,0.2900,0.0436,0.0312,10
GradientBoosting/Minority-F1,0.2833,0.0310,0.0222,10
GradientBoosting/Minority-PR-AUC,0.2134,0.0312,0.0223,10
LinearSVM/Macro-Precision,0.5516,0.0133,0.0095,10
LinearSVM/Macro-Recall,0.5960,0.0194,0.0139,10
LinearSVM/Macro-F1,0.5586,0.0121,0.0087,10
LinearSVM/Macro-PR-AUC,0.5448,0.0084,0.0060,10
LinearSVM/Accuracy,0.8805,0.0274,0.0196,10
LinearSVM/ROC-AUC,0.6799,0.0182,0.0130,10
LinearSVM/MCC,0.1388,0.0181,0.0129,10
LinearSVM/Minority-Precision,0.1406,0.0275,0.0197,10
LinearSVM/Minority-Recall,0.2821,0.0660,0.0472,10
LinearSVM/Minority-F1,0.1818,0.0152,0.0109,10
LinearSVM/Minority-PR-AUC,0.1167,0.0148,0.0106,10
RandomForest/Macro-Precision,0.7074,0.0213,0.0152,10
RandomForest/Macro-Recall,0.7079,0.0136,0.0097,10
RandomForest/Macro-F1,0.7063,0.0091,0.0065,10
RandomForest/Macro-PR-AUC,0.6701,0.0161,0.0115,10
RandomForest/Accuracy,0.9469,0.0054,0.0039,10
RandomForest/ROC-AUC,0.8185,0.0261,0.0187,10
RandomForest/MCC,0.4142,0.0170,0.0122,10
RandomForest/Minority-Precision,0.4423,0.0435,0.0311,10
RandomForest/Minority-Recall,0.4440,0.0327,0.0234,10
RandomForest/Minority-F1,0.4405,0.0162,0.0116,10
RandomForest/Minority-PR-AUC,0.3557,0.0299,0.0214,10
SRC_pure/Macro-Precision,nan,nan,nan,10
SRC_pure/Macro-Recall,nan,nan,nan,10
SRC_pure/Macro-F1,nan,nan,nan,10
SRC_pure/Macro-PR-AUC,nan,nan,nan,10
SRC_pure/Accuracy,nan,nan,nan,10
SRC_pure/ROC-AUC,nan,nan,nan,10
SRC_pure/MCC,nan,nan,nan,10
SRC_pure/Minority-Precision,nan,nan,nan,10
SRC_pure/Minority-Recall,nan,nan,nan,10
SRC_pure/Minority-F1,nan,nan,nan,10
SRC_pure/Minority-PR-AUC,nan,nan,nan,10
SRC_fddl/Macro-Precision,nan,nan,nan,10
SRC_fddl/Macro-Recall,nan,nan,nan,10
SRC_fddl/Macro-F1,nan,nan,nan,10
SRC_fddl/Macro-PR-AUC,nan,nan,nan,10
SRC_fddl/Accuracy,nan,nan,nan,10
SRC_fddl/ROC-AUC,nan,nan,nan,10
SRC_fddl/MCC,nan,nan,nan,10
SRC_fddl/Minority-Precision,nan,nan,nan,10
SRC_fddl/Minority-Recall,nan,nan,nan,10
SRC_fddl/Minority-F1,nan,nan,nan,10
SRC_fddl/Minority-PR-AUC,nan,nan,nan,10
