metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.5447,0.0077,0.0055,10
LogisticRegression/Macro-Recall,0.6051,0.0252,0.0180,10
LogisticRegression/Macro-F1,0.5546,0.0103,0.0074,10
LogisticRegression/Macro-PR-AUC,0.5411,0.0091,0.0065,10
LogisticRegression/Accuracy,0.8871,0.0133,0.0095,10
LogisticRegression/ROC-AUC,0.6755,0.0257,0.0184,10
LogisticRegression/MCC,0.1366,0.0259,0.0186,10
LogisticRegression/Minority-Precision,0.1194,0.0139,0.0099,10
LogisticRegression/Minority-Recall,0.2993,0.0620,0.0444,10
LogisticRegression/Minority-F1,0.1698,0.0204,0.0146,10
LogisticRegression/Minority-PR-AUC,0.1045,0.0164,0.0118,10
GradientBoosting/Macro-Precision,0.6297,0.0187,0.0134,10
GradientBoosting/Macro-Recall,0.6194,0.0218,0.0156,10
GradientBoosting/Macro-F1,0.6233,0.0176,0.0126,10
GradientBoosting/Macro-PR-AUC,0.5868,0.0135,0.0096,10
GradientBoosting/Accuracy,0.9459,0.0043,0.0031,10
GradientBoosting/ROC-AUC,0.7562,0.0173,0.0124,10
GradientBoosting/MCC,0.2480,0.0349,0.0250,10
GradientBoosting/Minority-Precision,0.2889,0.0367,0.0262,10
GradientBoosting/Minority-Recall,0.2655,0.0461,0.0330,10
GradientBoosting/Minority-F1,0.2747,0.0347,0.0249,10
GradientBoosting/Minority-PR-AUC,0.1898,0.0265,0.0190,10
LinearSVM/Macro-Precision,0.5421,0.0076,0.0054,10
LinearSVM/Macro-Recall,0.5979,0.0166,0.0119,10
LinearSVM/Macro-F1,0.5511,0.0103,0.0073,10
LinearSVM/Macro-PR-AUC,0.5386,0.0081,0.0058,10
LinearSVM/Accuracy,0.8863,0.0118,0.0084,10
LinearSVM/ROC-AUC,0.6690,0.0218,0.0156,10
LinearSVM/MCC,0.1281,0.0205,0.0147,10
LinearSVM/Minority-Precision,0.1149,0.0143,0.0102,10
LinearSVM/Minority-Recall,0.2852,0.0393,0.0281,10
LinearSVM/Minority-F1,0.1631,0.0175,0.0125,10
LinearSVM/Minority-PR-AUC,0.1005,0.0150,0.0108,10
RandomForest/Macro-Precision,0.7125,0.0274,0.0196,10
RandomForest/Macro-Recall,0.6881,0.0167,0.0120,10
RandomForest/Macro-F1,0.6976,0.0101,0.0072,10
RandomForest/Macro-PR-AUC,0.6492,0.0155,0.0111,10
RandomForest/Accuracy,0.9570,0.0045,0.0032,10
RandomForest/ROC-AUC,0.8114,0.0163,0.0117,10
RandomForest/MCC,0.3982,0.0218,0.0156,10
RandomForest/Minority-Precision,0.4492,0.0556,0.0398,10
RandomForest/Minority-Recall,0.3965,0.0380,0.0272,10
RandomForest/Minority-F1,0.4175,0.0188,0.0134,10
RandomForest/Minority-PR-AUC,0.3117,0.0307,0.0219,10
SRC_pure/Macro-Precision,nan,nan,nan,10
SRC_pure/Macro-Recall,nan,nan,nan,10
SRC_pure/Macro-F1,nan,nan,nan,10
SRC_pure/Macro-PR-AUC,nan,nan,nan,10
SRC_pure/Accuracy,nan,nan,nan,10
SRC_pure/ROC-AUC,nan,nan,nan,10
SRC_pure/MCC,nan,nan,nan,10
SRC_pure/Minority-Precision,nan,nan,nan,10
SRC_pure/Minority-Recall,nan,nan,nan,10
SRC_pure/Minority-F1,nan,nan,nan,10
SRC_pure/Minority-PR-AUC,nan,nan,nan,10
SRC_fddl/Macro-Precision,nan,nan,nan,10
SRC_fddl/Macro-Recall,nan,nan,nan,10
SRC_fddl/Macro-F1,nan,nan,nan,10
SRC_fddl/Macro-PR-AUC,nan,nan,nan,10
SRC_fddl/Accuracy,nan,nan,nan,10
SRC_fddl/ROC-AUC,nan,nan,nan,10
SRC_fddl/MCC,nan,nan,nan,10
SRC_fddl/Minority-Precision,nan,nan,nan,10
SRC_fddl/Minority-Recall,nan,nan,nan,10
SRC_fddl/Minority-F1,nan,nan,nan,10
SRC_fddl/Minority-PR-AUC,nan,nan,nan,10
