master_seed,total_atoms,LogisticRegression/Macro-Precision,LogisticRegression/Macro-Recall,LogisticRegression/Macro-F1,LogisticRegression/Macro-PR-AUC,LogisticRegression/Accuracy,LogisticRegression/ROC-AUC,LogisticRegression/MCC,LogisticRegression/Minority-Precision,LogisticRegression/Minority-Recall,LogisticRegression/Minority-F1,LogisticRegression/Minority-PR-AUC,GradientBoosting/Macro-Precision,GradientBoosting/Macro-Recall,GradientBoosting/Macro-F1,GradientBoosting/Macro-PR-AUC,GradientBoosting/Accuracy,GradientBoosting/ROC-AUC,GradientBoosting/MCC,GradientBoosting/Minority-Precision,GradientBoosting/Minority-Recall,GradientBoosting/Minority-F1,GradientBoosting/Minority-PR-AUC,LinearSVM/Macro-Precision,LinearSVM/Macro-Recall,LinearSVM/Macro-F1,LinearSVM/Macro-PR-AUC,LinearSVM/Accuracy,LinearSVM/ROC-AUC,LinearSVM/MCC,LinearSVM/Minority-Precision,LinearSVM/Minority-Recall,LinearSVM/Minority-F1,LinearSVM/Minority-PR-AUC,RandomForest/Macro-Precision,RandomForest/Macro-Recall,RandomForest/Macro-F1,RandomForest/Macro-PR-AUC,RandomForest/Accuracy,RandomForest/ROC-AUC,RandomForest/MCC,RandomForest/Minority-Precision,RandomForest/Minority-Recall,RandomForest/Minority-F1,RandomForest/Minority-PR-AUC,SRC_pure/Macro-Precision,SRC_pure/Macro-Recall,SRC_pure/Macro-F1,SRC_pure/Macro-PR-AUC,SRC_pure/Accuracy,SRC_pure/ROC-AUC,SRC_pure/MCC,SRC_pure/Minority-Precision,SRC_pure/Minority-Recall,SRC_pure/Minority-F1,SRC_pure/Minority-PR-AUC,SRC_fddl/Macro-Precision,SRC_fddl/Macro-Recall,SRC_fddl/Macro-F1,SRC_fddl/Macro-PR-AUC,SRC_fddl/Accuracy,SRC_fddl/ROC-AUC,SRC_fddl/MCC,SRC_fddl/Minority-Precision,SRC_fddl/Minority-Recall,SRC_fddl/Minority-F1,SRC_fddl/Minority-PR-AUC
1,27,0.5876357722912021,0.6071089277231931,0.5959696458684653,0.5671890554692263,0.9095955590800952,0.7065770394259857,0.1937686620721171,0.21686746987951808,0.26865671641791045,0.24,0.16101129856021074,0.6188215959583663,0.6525131878296957,0.6328477255718108,0.6204249120309508,0.915543219666931,0.7684285857146429,0.26923491885431605,0.2742857142857143,0.3582089552238806,0.3106796116504854,0.26235138531214763,0.5837850633211031,0.5884897122428061,0.5860446454625037,0.5649169626492507,0.9143536875495638,0.7016550413760345,0.17221052399350856,0.2112676056338028,0.22388059701492538,0.21739130434782608,0.15907806129230181,0.6895539004914005,0.7160210255256382,0.701718881412952,0.6678972709710107,0.9357652656621729,0.8364505987649692,0.40471040498873806,0.4090909090909091,0.4701492537313433,0.4375,0.35114719537099537,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,27,0.5502266832967077,0.5554982624565614,0.5526387469449584,0.5298196034445396,0.9052339413164155,0.6195467386684668,0.10559344017358788,0.1476510067114094,0.16417910447761194,0.15547703180212014,0.0977662075069238,0.6077433704314372,0.5784175854396361,0.5900001806325753,0.563311930196138,0.9286280729579699,0.6844217980449512,0.18383661176557378,0.2604166666666667,0.1865671641791045,0.21739130434782608,0.15655960089171225,0.5497245643620011,0.5552888822220555,0.5522547046987809,0.529036043034387,0.9048374306106265,0.6192186054651366,0.10486592549639183,0.14666666666666667,0.16417910447761194,0.15492957746478872,0.09705084536291934,0.6778846153846154,0.6397941198529964,0.6560391947040989,0.6304111525486037,0.9381443298969072,0.7855024500612514,0.3153868941036141,0.3942307692307692,0.30597014925373134,0.3445378151260504,0.2805269051047074,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,27,0.5773586584792199,0.5950773769344233,0.5848612012947214,0.5547259318626112,0.9068199841395718,0.6812201555038876,0.17152327342223989,0.19760479041916168,0.2462686567164179,0.21926910299003322,0.13720789462155267,0.6572711748633879,0.6439067226680667,0.6502160348788638,0.6054349753060162,0.9325931800158604,0.7381918922973074,0.30088123467405936,0.3524590163934426,0.3208955223880597,0.3359375,0.23417208060304917,0.5745274914089347,0.6051870046751169,0.5858752766916983,0.5539562230755786,0.8992862807295797,0.6816154778869471,0.1770799095014039,0.19072164948453607,0.27611940298507465,0.22560975609756098,0.13518538753365467,0.7342061512884456,0.7042738568464212,0.7180241969128077,0.6798289882973093,0.9468675654242664,0.802457561439036,0.43745716965594333,0.5,0.43283582089552236,0.464,0.3774791472656917,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,27,0.5617130399143878,0.5682419737078149,0.5647185488974547,0.5508235893771167,0.908406026962728,0.680984587882431,0.12979090333712898,0.16891891891891891,0.18796992481203006,0.17793594306049823,0.13061744660370345,0.6441237113402062,0.6066967334619513,0.6218890554722639,0.5982591920170884,0.9341792228390167,0.7429556520014982,0.24801233206768714,0.32989690721649484,0.24060150375939848,0.2782608695652174,0.21936937347792276,0.5529619770907293,0.5596767137601224,0.5559859154929577,0.5457753787552788,0.9056304520222046,0.6750142413379618,0.11243836973228688,0.152317880794702,0.17293233082706766,0.1619718309859155,0.12127584184828644,0.6981543047116818,0.7121613158052099,0.7048651638945628,0.669286630765557,0.9389373513084853,0.800545734365214,0.4100764710153311,0.42657342657342656,0.45864661654135336,0.4420289855072464,0.35666300404002416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,27,0.5428790643662906,0.5976184706219294,0.5493462291189593,0.5513120731483241,0.8497224425059476,0.648300323852746,0.1293953428085658,0.12727272727272726,0.3157894736842105,0.18142548596112312,0.13393770964712406,0.5894093267638078,0.6204470993305784,0.6016245796654458,0.5904916068126003,0.9064234734337827,0.7462382410610032,0.20754849131516714,0.2185792349726776,0.3007518796992481,0.25316455696202533,0.20221328990382412,0.5349418751948862,0.5902853617929293,0.5355688777286849,0.5477412664117819,0.8291038858049168,0.6505726434126337,0.11233414162566399,0.11197916666666667,0.3233082706766917,0.16634429400386846,0.1264821448432298,0.6811856111717963,0.7129906180268587,0.695490567360965,0.6586199009254712,0.9337827121332276,0.8068339538675067,0.3928910042291883,0.3924050632911392,0.46616541353383456,0.4261168384879725,0.33463081338494516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,27,0.5490844551017591,0.5917778113625773,0.5587808780878089,0.5379035150797636,0.8722729075763586,0.6387293610911701,0.13423656522965915,0.14068441064638784,0.2781954887218045,0.18686868686868688,0.11363883373616825,0.6530741528181542,0.6110785758365763,0.6279109177180592,0.5843153621178456,0.935739785799286,0.7224798806060377,0.2607930895743292,0.3473684210526316,0.24812030075187969,0.2894736842105263,0.196175817739704,0.5492560388376284,0.5629966876991473,0.5546723193782017,0.5316087060620917,0.8984529948433162,0.6129960579841564,0.11140856871805058,0.14450867052023122,0.18796992481203006,0.16339869281045752,0.10496168395211272,0.7182312979398062,0.6551539023437991,0.6803630229618087,0.6424548056754209,0.9452598175327251,0.7878238309341191,0.368018681530779,0.4731182795698925,0.3308270676691729,0.3893805309734513,0.304445969143275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,27,0.5535596421360903,0.6216152819234015,0.5639397720183746,0.5611117543647981,0.8548195160650536,0.6852841903754361,0.16141463351378177,0.1458966565349544,0.3609022556390977,0.2077922077922078,0.15000678565932848,0.6816414888911572,0.6344724877520435,0.6537713686797499,0.6234743156453437,0.9397064656882189,0.7706987317540082,0.31257500149678674,0.4020618556701031,0.2932330827067669,0.3391304347826087,0.26656294995532515,0.6088987614431879,0.5382032342161938,0.5515851382318155,0.5558641218290635,0.9389131297104324,0.679919018652158,0.12900054091774218,0.26666666666666666,0.09022556390977443,0.1348314606741573,0.13977769154584818,0.7169425946479221,0.7215573481442299,0.7192206471189786,0.6762039249074113,0.9432764775882586,0.8211735368572184,0.4384756593915891,0.4632352941176471,0.47368421052631576,0.4684014869888476,0.37010924675286144,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,27,0.5599554320983177,0.6041123537486933,0.5721808442254125,0.555982323273266,0.882189607298691,0.6900826186068185,0.15801393806592912,0.16115702479338842,0.2932330827067669,0.208,0.1409134759214584,0.6067016695415234,0.668669160338031,0.6279454930062476,0.6080930085733326,0.9036096786989289,0.7634522864951323,0.2683078903665326,0.24770642201834864,0.40601503759398494,0.3076923076923077,0.23787727720985039,0.5640145647490341,0.5905593128550019,0.5736612601924268,0.5515898397435772,0.8968663228877429,0.6797458470296344,0.15227757545199552,0.17098445595854922,0.24812030075187969,0.20245398773006135,0.13372709173897465,0.700726392251816,0.7401355146660622,0.7182659078795798,0.7350300734712181,0.9381197937326458,0.8312899081875542,0.4390969620047568,0.42857142857142855,0.518796992481203,0.46938775510204084,0.48730962547848866,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,27,0.5349160777912219,0.5921304517575345,0.5348757357406578,0.5500613397081006,0.8258627528758429,0.6712950718504804,0.11343428089438377,0.1116751269035533,0.3308270676691729,0.16698292220113853,0.1305959005110848,0.6045202126539636,0.6250409314744148,0.6135186172194236,0.5902668132639921,0.9151130503768345,0.743931121774285,0.22864211990055996,0.2484472049689441,0.3007518796992481,0.272108843537415,0.20165775530648966,0.5362477431738465,0.5860962078563242,0.539492912465293,0.550149809303607,0.8413328044426814,0.6646893615949421,0.11172812055374688,0.11527377521613832,0.3007518796992481,0.16666666666666666,0.13215918387305597,0.7508612590040714,0.6967166660369517,0.7199422332254174,0.6961606551599063,0.9500198333994446,0.8120395209128348,0.44429085297409915,0.5339805825242718,0.41353383458646614,0.4661016949152542,0.4089594233097805,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,27,0.5437976263404077,0.5963463936222466,0.5510414246999613,0.5425057466493667,0.8540261800872669,0.660870140174557,0.12991910324679737,0.12933753943217666,0.3082706766917293,0.18222222222222223,0.11532275495050039,0.6167494216213931,0.6217097391720507,0.6191608089776791,0.5890546686230654,0.9222530741769139,0.7454392891777182,0.23840756409164143,0.2733812949640288,0.2857142857142857,0.27941176470588236,0.20205908941032188,0.5405377955652179,0.5929963098701527,0.5460247906599838,0.5421335736873353,0.8476794922649742,0.6597712875152706,0.12279845923847588,0.12312312312312312,0.3082706766917293,0.1759656652360515,0.11441044913647853,0.6759268403755095,0.7019133890001386,0.6878041452789472,0.6577342732191018,0.9329631098770329,0.8028614249190817,0.37694553747885406,0.38311688311688313,0.44360902255639095,0.41114982578397213,0.3342887688599191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
