master_seed,partition,val_logreg,val_gboost,val_svm,val_rf,test_logreg,test_gboost,test_svm,test_rf,seed_total
1,0.010,0.166,9.150,0.995,1.848,0.145,9.058,0.992,1.852,27.029
2,0.010,0.171,9.116,1.015,1.896,0.147,9.078,1.011,1.878,24.340
3,0.009,0.156,9.094,1.105,1.876,0.154,9.081,1.103,1.873,24.470
4,0.010,0.163,9.115,0.989,1.895,0.149,9.099,0.985,1.881,24.303
5,0.010,0.153,9.111,0.996,1.853,0.142,9.094,1.001,1.851,24.231
6,0.009,0.162,9.112,1.019,1.835,0.149,9.066,1.023,1.833,24.227
7,0.010,0.180,9.112,0.980,1.872,0.144,9.064,0.986,1.868,24.234
8,0.009,0.147,9.119,1.018,1.896,0.136,9.074,1.016,1.899,24.334
9,0.010,0.158,9.104,1.037,1.888,0.147,9.067,1.036,1.903,24.369
10,0.009,0.154,9.115,0.936,1.934,0.147,9.085,0.932,1.925,24.255
