metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.5974,0.0208,0.0259,5
LogisticRegression/Macro-Recall,0.6407,0.0271,0.0336,5
LogisticRegression/Macro-F1,0.6130,0.0219,0.0272,5
LogisticRegression/Macro-PR-AUC,0.5811,0.0191,0.0237,5
LogisticRegression/Accuracy,0.9145,0.0088,0.0109,5
LogisticRegression/ROC-AUC,0.7570,0.0248,0.0308,5
LogisticRegression/MCC,0.2336,0.0441,0.0548,5
LogisticRegression/Minority-Precision,0.2281,0.0398,0.0494,5
LogisticRegression/Minority-Recall,0.3385,0.0541,0.0672,5
LogisticRegression/Minority-F1,0.2715,0.0403,0.0500,5
LogisticRegression/Minority-PR-AUC,0.1825,0.0358,0.0445,5
GradientBoosting/Macro-Precision,0.6029,0.0446,0.0554,5
GradientBoosting/Macro-Recall,0.6058,0.0179,0.0222,5
GradientBoosting/Macro-F1,0.5966,0.0184,0.0228,5
GradientBoosting/Macro-PR-AUC,0.5752,0.0161,0.0200,5
GradientBoosting/Accuracy,0.9198,0.0225,0.0280,5
GradientBoosting/ROC-AUC,0.7177,0.0218,0.0271,5
GradientBoosting/MCC,0.2028,0.0355,0.0441,5
GradientBoosting/Minority-Precision,0.2428,0.0904,0.1122,5
GradientBoosting/Minority-Recall,0.2592,0.0560,0.0695,5
GradientBoosting/Minority-F1,0.2357,0.0277,0.0344,5
GradientBoosting/Minority-PR-AUC,0.1739,0.0300,0.0372,5
LinearSVM/Macro-Precision,0.5939,0.0177,0.0220,5
LinearSVM/Macro-Recall,0.6335,0.0369,0.0459,5
LinearSVM/Macro-F1,0.6066,0.0198,0.0246,5
LinearSVM/Macro-PR-AUC,0.5743,0.0178,0.0221,5
LinearSVM/Accuracy,0.9141,0.0145,0.0180,5
LinearSVM/ROC-AUC,0.7488,0.0272,0.0338,5
LinearSVM/MCC,0.2223,0.0431,0.0535,5
LinearSVM/Minority-Precision,0.2219,0.0345,0.0428,5
LinearSVM/Minority-Recall,0.3238,0.0888,0.1102,5
LinearSVM/Minority-F1,0.2589,0.0402,0.0499,5
LinearSVM/Minority-PR-AUC,0.1700,0.0329,0.0409,5
RandomForest/Macro-Precision,0.6354,0.0261,0.0324,5
RandomForest/Macro-Recall,0.6237,0.0147,0.0182,5
RandomForest/Macro-F1,0.6286,0.0187,0.0232,5
RandomForest/Macro-PR-AUC,0.6048,0.0215,0.0267,5
RandomForest/Accuracy,0.9358,0.0070,0.0086,5
RandomForest/ROC-AUC,0.7579,0.0304,0.0377,5
RandomForest/MCC,0.2583,0.0379,0.0471,5
RandomForest/Minority-Precision,0.3061,0.0512,0.0636,5
RandomForest/Minority-Recall,0.2792,0.0269,0.0334,5
RandomForest/Minority-F1,0.2909,0.0341,0.0423,5
RandomForest/Minority-PR-AUC,0.2295,0.0402,0.0499,5
SRC_pure/Macro-Precision,nan,nan,nan,5
SRC_pure/Macro-Recall,nan,nan,nan,5
SRC_pure/Macro-F1,nan,nan,nan,5
SRC_pure/Macro-PR-AUC,nan,nan,nan,5
SRC_pure/Accuracy,nan,nan,nan,5
SRC_pure/ROC-AUC,nan,nan,nan,5
SRC_pure/MCC,nan,nan,nan,5
SRC_pure/Minority-Precision,nan,nan,nan,5
SRC_pure/Minority-Recall,nan,nan,nan,5
SRC_pure/Minority-F1,nan,nan,nan,5
SRC_pure/Minority-PR-AUC,nan,nan,nan,5
SRC_fddl/Macro-Precision,nan,nan,nan,5
SRC_fddl/Macro-Recall,nan,nan,nan,5
SRC_fddl/Macro-F1,nan,nan,nan,5
SRC_fddl/Macro-PR-AUC,nan,nan,nan,5
SRC_fddl/Accuracy,nan,nan,nan,5
SRC_fddl/ROC-AUC,nan,nan,nan,5
SRC_fddl/MCC,nan,nan,nan,5
SRC_fddl/Minority-Precision,nan,nan,nan,5
SRC_fddl/Minority-Recall,nan,nan,nan,5
SRC_fddl/Minority-F1,nan,nan,nan,5
SRC_fddl/Minority-PR-AUC,nan,nan,nan,5
