metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.5885,0.0024,0.0217,2
LogisticRegression/Macro-Recall,0.6777,0.0119,0.1071,2
LogisticRegression/Macro-F1,0.6118,0.0038,0.0346,2
LogisticRegression/Macro-PR-AUC,0.5852,0.0077,0.0690,2
LogisticRegression/Accuracy,0.8945,0.0019,0.0172,2
LogisticRegression/ROC-AUC,0.7866,0.0046,0.0411,2
LogisticRegression/MCC,0.2508,0.0118,0.1064,2
LogisticRegression/Minority-Precision,0.2063,0.0036,0.0320,2
LogisticRegression/Minority-Recall,0.4385,0.0272,0.2444,2
LogisticRegression/Minority-F1,0.2805,0.0089,0.0796,2
LogisticRegression/Minority-PR-AUC,0.1879,0.0139,0.1248,2
GradientBoosting/Macro-Precision,0.5871,0.0077,0.0690,2
GradientBoosting/Macro-Recall,0.6438,0.0441,0.3963,2
GradientBoosting/Macro-F1,0.6048,0.0157,0.1415,2
GradientBoosting/Macro-PR-AUC,0.5768,0.0310,0.2782,2
GradientBoosting/Accuracy,0.9066,0.0096,0.0860,2
GradientBoosting/ROC-AUC,0.7240,0.0433,0.3888,2
GradientBoosting/MCC,0.2232,0.0443,0.3983,2
GradientBoosting/Minority-Precision,0.2071,0.0108,0.0969,2
GradientBoosting/Minority-Recall,0.3538,0.1033,0.9285,2
GradientBoosting/Minority-F1,0.2595,0.0371,0.3335,2
GradientBoosting/Minority-PR-AUC,0.1772,0.0589,0.5289,2
LinearSVM/Macro-Precision,0.6022,0.0115,0.1037,2
LinearSVM/Macro-Recall,0.6380,0.0226,0.2034,2
LinearSVM/Macro-F1,0.6149,0.0013,0.0114,2
LinearSVM/Macro-PR-AUC,0.5824,0.0126,0.1136,2
LinearSVM/Accuracy,0.9181,0.0135,0.1215,2
LinearSVM/ROC-AUC,0.7840,0.0104,0.0938,2
LinearSVM/MCC,0.2363,0.0061,0.0548,2
LinearSVM/Minority-Precision,0.2380,0.0255,0.2294,2
LinearSVM/Minority-Recall,0.3288,0.0626,0.5620,2
LinearSVM/Minority-F1,0.2732,0.0051,0.0455,2
LinearSVM/Minority-PR-AUC,0.1831,0.0230,0.2064,2
RandomForest/Macro-Precision,0.5976,0.0245,0.2205,2
RandomForest/Macro-Recall,0.6122,0.0128,0.1154,2
RandomForest/Macro-F1,0.6038,0.0200,0.1800,2
RandomForest/Macro-PR-AUC,0.5755,0.0112,0.1004,2
RandomForest/Accuracy,0.9229,0.0097,0.0871,2
RandomForest/ROC-AUC,0.7644,0.0288,0.2592,2
RandomForest/MCC,0.2090,0.0383,0.3444,2
RandomForest/Minority-Precision,0.2315,0.0480,0.4308,2
RandomForest/Minority-Recall,0.2692,0.0163,0.1466,2
RandomForest/Minority-F1,0.2483,0.0348,0.3125,2
RandomForest/Minority-PR-AUC,0.1699,0.0203,0.1824,2
SRC_pure/Macro-Precision,nan,nan,nan,2
SRC_pure/Macro-Recall,nan,nan,nan,2
SRC_pure/Macro-F1,nan,nan,nan,2
SRC_pure/Macro-PR-AUC,nan,nan,nan,2
SRC_pure/Accuracy,nan,nan,nan,2
SRC_pure/ROC-AUC,nan,nan,nan,2
SRC_pure/MCC,nan,nan,nan,2
SRC_pure/Minority-Precision,nan,nan,nan,2
SRC_pure/Minority-Recall,nan,nan,nan,2
SRC_pure/Minority-F1,nan,nan,nan,2
SRC_pure/Minority-PR-AUC,nan,nan,nan,2
SRC_fddl/Macro-Precision,nan,nan,nan,2
SRC_fddl/Macro-Recall,nan,nan,nan,2
SRC_fddl/Macro-F1,nan,nan,nan,2
SRC_fddl/Macro-PR-AUC,nan,nan,nan,2
SRC_fddl/Accuracy,nan,nan,nan,2
SRC_fddl/ROC-AUC,nan,nan,nan,2
SRC_fddl/MCC,nan,nan,nan,2
SRC_fddl/Minority-Precision,nan,nan,nan,2
SRC_fddl/Minority-Recall,nan,nan,nan,2
SRC_fddl/Minority-F1,nan,nan,nan,2
SRC_fddl/Minority-PR-AUC,nan,nan,nan,2
