phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.78,0.22,11.62,11.94,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,157.73,0.17,157.61,157.85,2
sparse_codes_train,73.31,0.82,72.74,73.89,2
sparse_codes_val,58.87,0.49,58.52,59.22,2
sparse_codes_test,57.78,1.09,57.01,58.55,2
val_logreg,0.08,0.00,0.07,0.08,2
val_gboost,49.70,0.39,49.42,49.98,2
val_svm,2.53,0.02,2.52,2.55,2
val_rf,3.50,0.09,3.44,3.57,2
test_logreg,0.07,0.00,0.07,0.08,2
test_gboost,49.61,0.33,49.37,49.84,2
test_svm,2.34,0.29,2.13,2.54,2
test_rf,3.49,0.11,3.41,3.56,2
seed_total,470.85,2.35,469.19,472.50,2
