metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6105,0.0018,0.0166,2
LogisticRegression/Macro-Recall,0.6585,0.0429,0.3853,2
LogisticRegression/Macro-F1,0.6275,0.0137,0.1235,2
LogisticRegression/Macro-PR-AUC,0.6008,0.0090,0.0812,2
LogisticRegression/Accuracy,0.9190,0.0094,0.0848,2
LogisticRegression/ROC-AUC,0.8060,0.0126,0.1133,2
LogisticRegression/MCC,0.2637,0.0382,0.3429,2
LogisticRegression/Minority-Precision,0.2527,0.0007,0.0067,2
LogisticRegression/Minority-Recall,0.3712,0.1006,0.9041,2
LogisticRegression/Minority-F1,0.2979,0.0329,0.2959,2
LogisticRegression/Minority-PR-AUC,0.2169,0.0178,0.1597,2
GradientBoosting/Macro-Precision,0.6987,0.0293,0.2636,2
GradientBoosting/Macro-Recall,0.6853,0.0334,0.3002,2
GradientBoosting/Macro-F1,0.6887,0.0046,0.0412,2
GradientBoosting/Macro-PR-AUC,0.6882,0.0015,0.0131,2
GradientBoosting/Accuracy,0.9456,0.0078,0.0699,2
GradientBoosting/ROC-AUC,0.8316,0.0163,0.1469,2
GradientBoosting/MCC,0.3812,0.0063,0.0567,2
GradientBoosting/Minority-Precision,0.4270,0.0621,0.5577,2
GradientBoosting/Minority-Recall,0.3981,0.0789,0.7086,2
GradientBoosting/Minority-F1,0.4060,0.0135,0.1211,2
GradientBoosting/Minority-PR-AUC,0.3913,0.0049,0.0439,2
LinearSVM/Macro-Precision,0.6359,0.0080,0.0717,2
LinearSVM/Macro-Recall,0.6823,0.0232,0.2085,2
LinearSVM/Macro-F1,0.6547,0.0132,0.1189,2
LinearSVM/Macro-PR-AUC,0.6177,0.0162,0.1457,2
LinearSVM/Accuracy,0.9277,0.0001,0.0011,2
LinearSVM/ROC-AUC,0.8212,0.0081,0.0726,2
LinearSVM/MCC,0.3148,0.0293,0.2632,2
LinearSVM/Minority-Precision,0.3013,0.0137,0.1228,2
LinearSVM/Minority-Recall,0.4115,0.0490,0.4398,2
LinearSVM/Minority-F1,0.3477,0.0266,0.2392,2
LinearSVM/Minority-PR-AUC,0.2504,0.0324,0.2907,2
RandomForest/Macro-Precision,0.7188,0.0304,0.2732,2
RandomForest/Macro-Recall,0.7135,0.0325,0.2922,2
RandomForest/Macro-F1,0.7134,0.0019,0.0170,2
RandomForest/Macro-PR-AUC,0.6934,0.0015,0.0135,2
RandomForest/Accuracy,0.9488,0.0070,0.0631,2
RandomForest/ROC-AUC,0.8519,0.0117,0.1050,2
RandomForest/MCC,0.4300,0.0029,0.0259,2
RandomForest/Minority-Precision,0.4644,0.0642,0.5766,2
RandomForest/Minority-Recall,0.4538,0.0761,0.6842,2
RandomForest/Minority-F1,0.4537,0.0077,0.0690,2
RandomForest/Minority-PR-AUC,0.3992,0.0016,0.0142,2
SRC_pure/Macro-Precision,0.5074,0.0094,0.0844,2
SRC_pure/Macro-Recall,0.5020,0.0025,0.0226,2
SRC_pure/Macro-F1,0.4976,0.0042,0.0376,2
SRC_pure/Macro-PR-AUC,0.4951,0.0001,0.0006,2
SRC_pure/Accuracy,0.9429,0.0001,0.0011,2
SRC_pure/ROC-AUC,0.4501,0.0021,0.0191,2
SRC_pure/MCC,0.0076,0.0097,0.0874,2
SRC_pure/Minority-Precision,0.0615,0.0186,0.1667,2
SRC_pure/Minority-Recall,0.0154,0.0054,0.0489,2
SRC_pure/Minority-F1,0.0246,0.0084,0.0759,2
SRC_pure/Minority-PR-AUC,0.0413,0.0002,0.0019,2
SRC_fddl/Macro-Precision,0.5116,0.0096,0.0859,2
SRC_fddl/Macro-Recall,0.5027,0.0024,0.0214,2
SRC_fddl/Macro-F1,0.4983,0.0042,0.0374,2
SRC_fddl/Macro-PR-AUC,0.4952,0.0001,0.0006,2
SRC_fddl/Accuracy,0.9443,0.0004,0.0034,2
SRC_fddl/ROC-AUC,0.4508,0.0021,0.0188,2
SRC_fddl/MCC,0.0113,0.0096,0.0859,2
SRC_fddl/Minority-Precision,0.0700,0.0189,0.1698,2
SRC_fddl/Minority-Recall,0.0154,0.0054,0.0489,2
SRC_fddl/Minority-F1,0.0252,0.0085,0.0767,2
SRC_fddl/Minority-PR-AUC,0.0414,0.0002,0.0018,2
