phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,8.41,0.01,8.41,8.42,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,109.18,1.73,107.95,110.40,2
sparse_codes_train,41.68,0.16,41.57,41.80,2
sparse_codes_val,30.52,0.71,30.02,31.02,2
sparse_codes_test,31.27,0.52,30.90,31.64,2
val_logreg,0.38,0.16,0.27,0.49,2
val_gboost,7.17,0.00,7.17,7.17,2
val_svm,0.26,0.02,0.25,0.27,2
val_rf,1.55,0.06,1.51,1.59,2
test_logreg,0.31,0.07,0.26,0.35,2
test_gboost,7.17,0.02,7.15,7.18,2
test_svm,0.26,0.01,0.24,0.27,2
test_rf,1.55,0.05,1.51,1.58,2
src_embeddings,31.37,0.42,31.07,31.67,2
src_pure,0.10,0.00,0.09,0.10,2
src_fddl,0.10,0.00,0.10,0.11,2
seed_total,271.44,2.23,269.87,273.02,2
