metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6165,0.0066,0.0082,5
LogisticRegression/Macro-Recall,0.6595,0.0252,0.0313,5
LogisticRegression/Macro-F1,0.6324,0.0072,0.0089,5
LogisticRegression/Macro-PR-AUC,0.6030,0.0120,0.0149,5
LogisticRegression/Accuracy,0.9218,0.0074,0.0092,5
LogisticRegression/ROC-AUC,0.8013,0.0206,0.0256,5
LogisticRegression/MCC,0.2717,0.0198,0.0246,5
LogisticRegression/Minority-Precision,0.2646,0.0144,0.0179,5
LogisticRegression/Minority-Recall,0.3700,0.0605,0.0752,5
LogisticRegression/Minority-F1,0.3062,0.0171,0.0212,5
LogisticRegression/Minority-PR-AUC,0.2214,0.0235,0.0292,5
GradientBoosting/Macro-Precision,0.6537,0.0322,0.0399,5
GradientBoosting/Macro-Recall,0.6785,0.0238,0.0295,5
GradientBoosting/Macro-F1,0.6604,0.0092,0.0114,5
GradientBoosting/Macro-PR-AUC,0.6561,0.0079,0.0098,5
GradientBoosting/Accuracy,0.9323,0.0124,0.0154,5
GradientBoosting/ROC-AUC,0.8137,0.0148,0.0184,5
GradientBoosting/MCC,0.3277,0.0158,0.0197,5
GradientBoosting/Minority-Precision,0.3374,0.0667,0.0828,5
GradientBoosting/Minority-Recall,0.3985,0.0628,0.0779,5
GradientBoosting/Minority-F1,0.3566,0.0134,0.0166,5
GradientBoosting/Minority-PR-AUC,0.3271,0.0145,0.0180,5
LinearSVM/Macro-Precision,0.6370,0.0047,0.0058,5
LinearSVM/Macro-Recall,0.6616,0.0251,0.0311,5
LinearSVM/Macro-F1,0.6472,0.0113,0.0140,5
LinearSVM/Macro-PR-AUC,0.6128,0.0120,0.0148,5
LinearSVM/Accuracy,0.9313,0.0036,0.0045,5
LinearSVM/ROC-AUC,0.8107,0.0222,0.0275,5
LinearSVM/MCC,0.2970,0.0253,0.0314,5
LinearSVM/Minority-Precision,0.3056,0.0088,0.0109,5
LinearSVM/Minority-Recall,0.3638,0.0564,0.0700,5
LinearSVM/Minority-F1,0.3307,0.0241,0.0300,5
LinearSVM/Minority-PR-AUC,0.2410,0.0238,0.0296,5
RandomForest/Macro-Precision,0.6920,0.0137,0.0170,5
RandomForest/Macro-Recall,0.6994,0.0112,0.0139,5
RandomForest/Macro-F1,0.6952,0.0081,0.0100,5
RandomForest/Macro-PR-AUC,0.6748,0.0118,0.0147,5
RandomForest/Accuracy,0.9443,0.0033,0.0041,5
RandomForest/ROC-AUC,0.8439,0.0143,0.0177,5
RandomForest/MCC,0.3910,0.0163,0.0203,5
RandomForest/Minority-Precision,0.4121,0.0276,0.0343,5
RandomForest/Minority-Recall,0.4292,0.0252,0.0312,5
RandomForest/Minority-F1,0.4196,0.0151,0.0187,5
RandomForest/Minority-PR-AUC,0.3617,0.0222,0.0276,5
SRC_pure/Macro-Precision,0.5455,0.0048,0.0059,5
SRC_pure/Macro-Recall,0.6481,0.0136,0.0169,5
SRC_pure/Macro-F1,0.5451,0.0097,0.0121,5
SRC_pure/Macro-PR-AUC,0.5596,0.0056,0.0070,5
SRC_pure/Accuracy,0.8185,0.0161,0.0200,5
SRC_pure/ROC-AUC,0.6773,0.0186,0.0231,5
SRC_pure/MCC,0.1641,0.0150,0.0187,5
SRC_pure/Minority-Precision,0.1219,0.0087,0.0109,5
SRC_pure/Minority-Recall,0.4600,0.0345,0.0428,5
SRC_pure/Minority-F1,0.1925,0.0118,0.0147,5
SRC_pure/Minority-PR-AUC,0.1480,0.0105,0.0131,5
SRC_fddl/Macro-Precision,0.5496,0.0046,0.0057,5
SRC_fddl/Macro-Recall,0.6496,0.0117,0.0145,5
SRC_fddl/Macro-F1,0.5541,0.0093,0.0115,5
SRC_fddl/Macro-PR-AUC,0.5596,0.0054,0.0067,5
SRC_fddl/Accuracy,0.8332,0.0157,0.0194,5
SRC_fddl/ROC-AUC,0.6788,0.0181,0.0224,5
SRC_fddl/MCC,0.1722,0.0131,0.0163,5
SRC_fddl/Minority-Precision,0.1302,0.0088,0.0109,5
SRC_fddl/Minority-Recall,0.4469,0.0326,0.0404,5
SRC_fddl/Minority-F1,0.2013,0.0110,0.0137,5
SRC_fddl/Minority-PR-AUC,0.1478,0.0101,0.0126,5
