phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.67,0.12,11.57,11.85,5
partition,0.04,0.00,0.03,0.04,5
fit_encoder_dict,188.90,2.64,186.44,193.18,5
sparse_codes_train,61.30,0.29,60.96,61.65,5
sparse_codes_val,46.76,0.78,45.85,47.99,5
sparse_codes_test,45.74,1.00,44.35,46.79,5
val_logreg,0.05,0.00,0.05,0.06,5
val_gboost,29.06,0.19,28.77,29.25,5
val_svm,1.84,0.24,1.62,2.23,5
val_rf,2.73,0.10,2.61,2.87,5
test_logreg,0.05,0.00,0.05,0.05,5
test_gboost,29.11,0.18,28.89,29.31,5
test_svm,1.84,0.25,1.63,2.25,5
test_rf,2.74,0.12,2.61,2.93,5
src_embeddings,45.51,0.89,44.18,46.37,5
src_pure,0.30,0.05,0.26,0.38,5
src_fddl,0.20,0.01,0.19,0.21,5
seed_total,467.86,4.24,463.76,474.25,5
