metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6197,0.0026,0.0236,2
LogisticRegression/Macro-Recall,0.6420,0.0052,0.0471,2
LogisticRegression/Macro-F1,0.6296,0.0037,0.0331,2
LogisticRegression/Macro-PR-AUC,0.5895,0.0036,0.0319,2
LogisticRegression/Accuracy,0.9275,0.0001,0.0011,2
LogisticRegression/ROC-AUC,0.7785,0.0159,0.1424,2
LogisticRegression/MCC,0.2607,0.0077,0.0689,2
LogisticRegression/Minority-Precision,0.2728,0.0047,0.0426,2
LogisticRegression/Minority-Recall,0.3269,0.0109,0.0977,2
LogisticRegression/Minority-F1,0.2974,0.0073,0.0658,2
LogisticRegression/Minority-PR-AUC,0.1972,0.0046,0.0412,2
GradientBoosting/Macro-Precision,0.6027,0.0308,0.2767,2
GradientBoosting/Macro-Recall,0.6717,0.0006,0.0057,2
GradientBoosting/Macro-F1,0.6228,0.0287,0.2581,2
GradientBoosting/Macro-PR-AUC,0.6008,0.0179,0.1604,2
GradientBoosting/Accuracy,0.9057,0.0259,0.2328,2
GradientBoosting/ROC-AUC,0.7636,0.0086,0.0772,2
GradientBoosting/MCC,0.2640,0.0396,0.3554,2
GradientBoosting/Minority-Precision,0.2355,0.0622,0.5586,2
GradientBoosting/Minority-Recall,0.4135,0.0299,0.2688,2
GradientBoosting/Minority-F1,0.2961,0.0428,0.3845,2
GradientBoosting/Minority-PR-AUC,0.2208,0.0351,0.3154,2
LinearSVM/Macro-Precision,0.6194,0.0007,0.0064,2
LinearSVM/Macro-Recall,0.6551,0.0185,0.1660,2
LinearSVM/Macro-F1,0.6339,0.0058,0.0524,2
LinearSVM/Macro-PR-AUC,0.5889,0.0006,0.0053,2
LinearSVM/Accuracy,0.9247,0.0042,0.0378,2
LinearSVM/ROC-AUC,0.7844,0.0064,0.0571,2
LinearSVM/MCC,0.2720,0.0154,0.1385,2
LinearSVM/Minority-Precision,0.2710,0.0033,0.0298,2
LinearSVM/Minority-Recall,0.3577,0.0435,0.3910,2
LinearSVM/Minority-F1,0.3077,0.0141,0.1263,2
LinearSVM/Minority-PR-AUC,0.1956,0.0030,0.0272,2
RandomForest/Macro-Precision,0.7047,0.0001,0.0012,2
RandomForest/Macro-Recall,0.6748,0.0254,0.2281,2
RandomForest/Macro-F1,0.6878,0.0152,0.1368,2
RandomForest/Macro-PR-AUC,0.6531,0.0132,0.1184,2
RandomForest/Accuracy,0.9483,0.0009,0.0080,2
RandomForest/ROC-AUC,0.7980,0.0167,0.1498,2
RandomForest/MCC,0.3779,0.0276,0.2483,2
RandomForest/Minority-Precision,0.4401,0.0022,0.0197,2
RandomForest/Minority-Recall,0.3731,0.0544,0.4887,2
RandomForest/Minority-F1,0.4027,0.0310,0.2786,2
RandomForest/Minority-PR-AUC,0.3225,0.0245,0.2200,2
SRC_pure/Macro-Precision,nan,nan,nan,2
SRC_pure/Macro-Recall,nan,nan,nan,2
SRC_pure/Macro-F1,nan,nan,nan,2
SRC_pure/Macro-PR-AUC,nan,nan,nan,2
SRC_pure/Accuracy,nan,nan,nan,2
SRC_pure/ROC-AUC,nan,nan,nan,2
SRC_pure/MCC,nan,nan,nan,2
SRC_pure/Minority-Precision,nan,nan,nan,2
SRC_pure/Minority-Recall,nan,nan,nan,2
SRC_pure/Minority-F1,nan,nan,nan,2
SRC_pure/Minority-PR-AUC,nan,nan,nan,2
SRC_fddl/Macro-Precision,nan,nan,nan,2
SRC_fddl/Macro-Recall,nan,nan,nan,2
SRC_fddl/Macro-F1,nan,nan,nan,2
SRC_fddl/Macro-PR-AUC,nan,nan,nan,2
SRC_fddl/Accuracy,nan,nan,nan,2
SRC_fddl/ROC-AUC,nan,nan,nan,2
SRC_fddl/MCC,nan,nan,nan,2
SRC_fddl/Minority-Precision,nan,nan,nan,2
SRC_fddl/Minority-Recall,nan,nan,nan,2
SRC_fddl/Minority-F1,nan,nan,nan,2
SRC_fddl/Minority-PR-AUC,nan,nan,nan,2
