phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.68,0.07,11.63,11.72,2
partition,0.03,0.00,0.03,0.04,2
fit_encoder_dict,154.72,0.61,154.29,155.15,2
sparse_codes_train,60.44,0.56,60.04,60.84,2
sparse_codes_val,45.10,0.20,44.96,45.24,2
sparse_codes_test,45.84,1.02,45.12,46.56,2
val_logreg,0.05,0.00,0.04,0.05,2
val_gboost,5.30,0.10,5.23,5.37,2
val_svm,0.19,0.02,0.18,0.21,2
val_rf,1.24,0.02,1.23,1.25,2
test_logreg,0.04,0.00,0.04,0.04,2
test_gboost,5.30,0.10,5.23,5.37,2
test_svm,0.20,0.03,0.18,0.21,2
test_rf,1.25,0.04,1.23,1.28,2
seed_total,331.39,0.42,331.10,331.69,2
