metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.5969,0.0111,0.1000,2
LogisticRegression/Macro-Recall,0.6694,0.0121,0.1087,2
LogisticRegression/Macro-F1,0.6186,0.0088,0.0789,2
LogisticRegression/Macro-PR-AUC,0.5886,0.0064,0.0573,2
LogisticRegression/Accuracy,0.9048,0.0139,0.1250,2
LogisticRegression/ROC-AUC,0.7643,0.0085,0.0766,2
LogisticRegression/MCC,0.2557,0.0056,0.0501,2
LogisticRegression/Minority-Precision,0.2241,0.0238,0.2135,2
LogisticRegression/Minority-Recall,0.4096,0.0408,0.3665,2
LogisticRegression/Minority-F1,0.2883,0.0096,0.0864,2
LogisticRegression/Minority-PR-AUC,0.1973,0.0141,0.1271,2
GradientBoosting/Macro-Precision,0.6109,0.0025,0.0227,2
GradientBoosting/Macro-Recall,0.6448,0.0177,0.1594,2
GradientBoosting/Macro-F1,0.6244,0.0042,0.0380,2
GradientBoosting/Macro-PR-AUC,0.5937,0.0016,0.0145,2
GradientBoosting/Accuracy,0.9224,0.0056,0.0504,2
GradientBoosting/ROC-AUC,0.7580,0.0181,0.1630,2
GradientBoosting/MCC,0.2531,0.0127,0.1137,2
GradientBoosting/Minority-Precision,0.2549,0.0069,0.0619,2
GradientBoosting/Minority-Recall,0.3385,0.0435,0.3910,2
GradientBoosting/Minority-F1,0.2899,0.0116,0.1045,2
GradientBoosting/Minority-PR-AUC,0.2061,0.0019,0.0175,2
LinearSVM/Macro-Precision,0.5901,0.0124,0.1115,2
LinearSVM/Macro-Recall,0.6466,0.0386,0.3467,2
LinearSVM/Macro-F1,0.6055,0.0033,0.0301,2
LinearSVM/Macro-PR-AUC,0.5864,0.0043,0.0390,2
LinearSVM/Accuracy,0.9049,0.0250,0.2247,2
LinearSVM/ROC-AUC,0.7634,0.0061,0.0547,2
LinearSVM/MCC,0.2276,0.0146,0.1311,2
LinearSVM/Minority-Precision,0.2128,0.0291,0.2617,2
LinearSVM/Minority-Recall,0.3615,0.1088,0.9774,2
LinearSVM/Minority-F1,0.2619,0.0076,0.0686,2
LinearSVM/Minority-PR-AUC,0.1936,0.0094,0.0842,2
RandomForest/Macro-Precision,0.6393,0.0096,0.0865,2
RandomForest/Macro-Recall,0.6576,0.0137,0.1234,2
RandomForest/Macro-F1,0.6477,0.0114,0.1027,2
RandomForest/Macro-PR-AUC,0.6153,0.0016,0.0141,2
RandomForest/Accuracy,0.9329,0.0015,0.0138,2
RandomForest/ROC-AUC,0.7910,0.0153,0.1377,2
RandomForest/MCC,0.2963,0.0232,0.2081,2
RandomForest/Minority-Precision,0.3106,0.0180,0.1613,2
RandomForest/Minority-Recall,0.3538,0.0272,0.2444,2
RandomForest/Minority-F1,0.3308,0.0221,0.1983,2
RandomForest/Minority-PR-AUC,0.2467,0.0013,0.0113,2
SRC_pure/Macro-Precision,nan,nan,nan,2
SRC_pure/Macro-Recall,nan,nan,nan,2
SRC_pure/Macro-F1,nan,nan,nan,2
SRC_pure/Macro-PR-AUC,nan,nan,nan,2
SRC_pure/Accuracy,nan,nan,nan,2
SRC_pure/ROC-AUC,nan,nan,nan,2
SRC_pure/MCC,nan,nan,nan,2
SRC_pure/Minority-Precision,nan,nan,nan,2
SRC_pure/Minority-Recall,nan,nan,nan,2
SRC_pure/Minority-F1,nan,nan,nan,2
SRC_pure/Minority-PR-AUC,nan,nan,nan,2
SRC_fddl/Macro-Precision,nan,nan,nan,2
SRC_fddl/Macro-Recall,nan,nan,nan,2
SRC_fddl/Macro-F1,nan,nan,nan,2
SRC_fddl/Macro-PR-AUC,nan,nan,nan,2
SRC_fddl/Accuracy,nan,nan,nan,2
SRC_fddl/ROC-AUC,nan,nan,nan,2
SRC_fddl/MCC,nan,nan,nan,2
SRC_fddl/Minority-Precision,nan,nan,nan,2
SRC_fddl/Minority-Recall,nan,nan,nan,2
SRC_fddl/Minority-F1,nan,nan,nan,2
SRC_fddl/Minority-PR-AUC,nan,nan,nan,2
