metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6054,0.0105,0.0945,2
LogisticRegression/Macro-Recall,0.6924,0.0183,0.1643,2
LogisticRegression/Macro-F1,0.6306,0.0077,0.0695,2
LogisticRegression/Macro-PR-AUC,0.5966,0.0069,0.0621,2
LogisticRegression/Accuracy,0.9052,0.0144,0.1296,2
LogisticRegression/ROC-AUC,0.7536,0.0072,0.0651,2
LogisticRegression/MCC,0.2842,0.0007,0.0060,2
LogisticRegression/Minority-Precision,0.2388,0.0232,0.2087,2
LogisticRegression/Minority-Recall,0.4577,0.0544,0.4887,2
LogisticRegression/Minority-F1,0.3122,0.0072,0.0647,2
LogisticRegression/Minority-PR-AUC,0.2181,0.0149,0.1337,2
GradientBoosting/Macro-Precision,0.5682,0.0095,0.0853,2
GradientBoosting/Macro-Recall,0.5859,0.0218,0.1959,2
GradientBoosting/Macro-F1,0.5754,0.0140,0.1254,2
GradientBoosting/Macro-PR-AUC,0.5525,0.0251,0.2252,2
GradientBoosting/Accuracy,0.9146,0.0028,0.0252,2
GradientBoosting/ROC-AUC,0.6485,0.0438,0.3938,2
GradientBoosting/MCC,0.1530,0.0301,0.2705,2
GradientBoosting/Minority-Precision,0.1752,0.0168,0.1513,2
GradientBoosting/Minority-Recall,0.2231,0.0490,0.4398,2
GradientBoosting/Minority-F1,0.1959,0.0296,0.2657,2
GradientBoosting/Minority-PR-AUC,0.1360,0.0470,0.4224,2
LinearSVM/Macro-Precision,0.6002,0.0072,0.0646,2
LinearSVM/Macro-Recall,0.6945,0.0134,0.1207,2
LinearSVM/Macro-F1,0.6260,0.0061,0.0550,2
LinearSVM/Macro-PR-AUC,0.5932,0.0063,0.0569,2
LinearSVM/Accuracy,0.9003,0.0114,0.1020,2
LinearSVM/ROC-AUC,0.7528,0.0113,0.1019,2
LinearSVM/MCC,0.2789,0.0004,0.0034,2
LinearSVM/Minority-Precision,0.2282,0.0160,0.1441,2
LinearSVM/Minority-Recall,0.4673,0.0408,0.3665,2
LinearSVM/Minority-F1,0.3058,0.0057,0.0510,2
LinearSVM/Minority-PR-AUC,0.2104,0.0140,0.1257,2
RandomForest/Macro-Precision,0.5993,0.0023,0.0206,2
RandomForest/Macro-Recall,0.6098,0.0198,0.1778,2
RandomForest/Macro-F1,0.6035,0.0074,0.0660,2
RandomForest/Macro-PR-AUC,0.5751,0.0154,0.1381,2
RandomForest/Accuracy,0.9253,0.0066,0.0596,2
RandomForest/ROC-AUC,0.7030,0.0244,0.2189,2
RandomForest/MCC,0.2083,0.0165,0.1479,2
RandomForest/Minority-Precision,0.2352,0.0066,0.0591,2
RandomForest/Minority-Recall,0.2615,0.0490,0.4398,2
RandomForest/Minority-F1,0.2462,0.0184,0.1655,2
RandomForest/Minority-PR-AUC,0.1762,0.0270,0.2423,2
SRC_pure/Macro-Precision,nan,nan,nan,2
SRC_pure/Macro-Recall,nan,nan,nan,2
SRC_pure/Macro-F1,nan,nan,nan,2
SRC_pure/Macro-PR-AUC,nan,nan,nan,2
SRC_pure/Accuracy,nan,nan,nan,2
SRC_pure/ROC-AUC,nan,nan,nan,2
SRC_pure/MCC,nan,nan,nan,2
SRC_pure/Minority-Precision,nan,nan,nan,2
SRC_pure/Minority-Recall,nan,nan,nan,2
SRC_pure/Minority-F1,nan,nan,nan,2
SRC_pure/Minority-PR-AUC,nan,nan,nan,2
SRC_fddl/Macro-Precision,nan,nan,nan,2
SRC_fddl/Macro-Recall,nan,nan,nan,2
SRC_fddl/Macro-F1,nan,nan,nan,2
SRC_fddl/Macro-PR-AUC,nan,nan,nan,2
SRC_fddl/Accuracy,nan,nan,nan,2
SRC_fddl/ROC-AUC,nan,nan,nan,2
SRC_fddl/MCC,nan,nan,nan,2
SRC_fddl/Minority-Precision,nan,nan,nan,2
SRC_fddl/Minority-Recall,nan,nan,nan,2
SRC_fddl/Minority-F1,nan,nan,nan,2
SRC_fddl/Minority-PR-AUC,nan,nan,nan,2
