phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.84,0.18,11.71,11.97,2
partition,0.03,0.00,0.03,0.04,2
fit_encoder_dict,2465.00,36.18,2439.42,2490.58,2
sparse_codes_train,73.94,1.88,72.61,75.27,2
sparse_codes_val,55.89,0.25,55.71,56.07,2
sparse_codes_test,56.22,0.41,55.93,56.51,2
val_logreg,0.06,0.01,0.05,0.06,2
val_gboost,7.34,0.00,7.34,7.34,2
val_svm,0.27,0.00,0.26,0.27,2
val_rf,1.41,0.09,1.34,1.47,2
test_logreg,0.06,0.01,0.05,0.06,2
test_gboost,7.37,0.04,7.34,7.40,2
test_svm,0.27,0.00,0.26,0.27,2
test_rf,1.42,0.10,1.35,1.48,2
seed_total,2682.27,37.97,2655.42,2709.12,2
