metric,mean,std_ddof1,ci95_halfwidth,n
GCN_train/Macro-Precision,0.4762,0.0002,0.0017,2
GCN_train/Macro-Recall,0.5000,0.0000,0.0000,2
GCN_train/Macro-F1,0.4878,0.0001,0.0009,2
GCN_train/Macro-PR-AUC,0.5000,0.0000,0.0000,2
GCN_train/Accuracy,0.9525,0.0004,0.0034,2
GCN_train/ROC-AUC,0.5000,0.0000,0.0000,2
GCN_train/MCC,0.0000,0.0000,0.0000,2
GCN_train/Minority-Precision,0.0000,0.0000,0.0000,2
GCN_train/Minority-Recall,0.0000,0.0000,0.0000,2
GCN_train/Minority-F1,0.0000,0.0000,0.0000,2
GCN_train/Minority-PR-AUC,0.0475,0.0004,0.0034,2
GCN/Macro-Precision,0.4777,0.0008,0.0069,2
GCN/Macro-Recall,0.5000,0.0000,0.0000,2
GCN/Macro-F1,0.4886,0.0004,0.0036,2
GCN/Macro-PR-AUC,0.5000,0.0000,0.0000,2
GCN/Accuracy,0.9553,0.0015,0.0138,2
GCN/ROC-AUC,0.5000,0.0000,0.0000,2
GCN/MCC,0.0000,0.0000,0.0000,2
GCN/Minority-Precision,0.0000,0.0000,0.0000,2
GCN/Minority-Recall,0.0000,0.0000,0.0000,2
GCN/Minority-F1,0.0000,0.0000,0.0000,2
GCN/Minority-PR-AUC,0.0447,0.0015,0.0138,2
