phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,15.27,0.57,14.84,16.05,5
partition,0.11,0.00,0.10,0.11,5
fit_encoder_dict,88.58,1.17,87.11,90.15,5
sparse_codes_train,7.95,0.08,7.85,8.08,5
sparse_codes_val,5.85,0.34,5.41,6.23,5
sparse_codes_test,5.21,0.20,4.93,5.49,5
val_logreg,0.12,0.02,0.10,0.15,5
val_gboost,2.23,0.21,2.13,2.62,5
val_svm,0.18,0.01,0.17,0.20,5
val_rf,0.91,0.03,0.88,0.97,5
test_logreg,0.13,0.01,0.12,0.14,5
test_gboost,2.14,0.00,2.13,2.14,5
test_svm,0.19,0.02,0.16,0.21,5
test_rf,0.97,0.11,0.88,1.09,5
seed_total,129.86,2.09,126.99,132.72,5
