metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6301,0.0127,0.0157,5
LogisticRegression/Macro-Recall,0.6768,0.0346,0.0430,5
LogisticRegression/Macro-F1,0.6465,0.0130,0.0161,5
LogisticRegression/Macro-PR-AUC,0.6132,0.0136,0.0169,5
LogisticRegression/Accuracy,0.9248,0.0106,0.0131,5
LogisticRegression/ROC-AUC,0.8157,0.0149,0.0184,5
LogisticRegression/MCC,0.3016,0.0298,0.0370,5
LogisticRegression/Minority-Precision,0.2902,0.0266,0.0331,5
LogisticRegression/Minority-Recall,0.4031,0.0824,0.1023,5
LogisticRegression/Minority-F1,0.3330,0.0272,0.0337,5
LogisticRegression/Minority-PR-AUC,0.2406,0.0265,0.0329,5
GradientBoosting/Macro-Precision,0.6275,0.0198,0.0245,5
GradientBoosting/Macro-Recall,0.6597,0.0339,0.0421,5
GradientBoosting/Macro-F1,0.6362,0.0089,0.0111,5
GradientBoosting/Macro-PR-AUC,0.6140,0.0094,0.0116,5
GradientBoosting/Accuracy,0.9250,0.0134,0.0167,5
GradientBoosting/ROC-AUC,0.7857,0.0102,0.0126,5
GradientBoosting/MCC,0.2815,0.0166,0.0207,5
GradientBoosting/Minority-Precision,0.2867,0.0429,0.0532,5
GradientBoosting/Minority-Recall,0.3669,0.0855,0.1062,5
GradientBoosting/Minority-F1,0.3122,0.0216,0.0268,5
GradientBoosting/Minority-PR-AUC,0.2449,0.0199,0.0247,5
LinearSVM/Macro-Precision,0.6244,0.0215,0.0267,5
LinearSVM/Macro-Recall,0.6804,0.0190,0.0236,5
LinearSVM/Macro-F1,0.6443,0.0181,0.0225,5
LinearSVM/Macro-PR-AUC,0.6103,0.0133,0.0165,5
LinearSVM/Accuracy,0.9206,0.0112,0.0140,5
LinearSVM/ROC-AUC,0.8093,0.0189,0.0234,5
LinearSVM/MCC,0.2986,0.0328,0.0407,5
LinearSVM/Minority-Precision,0.2783,0.0429,0.0533,5
LinearSVM/Minority-Recall,0.4154,0.0417,0.0518,5
LinearSVM/Minority-F1,0.3308,0.0312,0.0387,5
LinearSVM/Minority-PR-AUC,0.2356,0.0253,0.0314,5
RandomForest/Macro-Precision,0.7156,0.0160,0.0198,5
RandomForest/Macro-Recall,0.6891,0.0188,0.0234,5
RandomForest/Macro-F1,0.7007,0.0131,0.0163,5
RandomForest/Macro-PR-AUC,0.6810,0.0125,0.0155,5
RandomForest/Accuracy,0.9497,0.0028,0.0034,5
RandomForest/ROC-AUC,0.8365,0.0093,0.0115,5
RandomForest/MCC,0.4033,0.0261,0.0324,5
RandomForest/Minority-Precision,0.4604,0.0319,0.0396,5
RandomForest/Minority-Recall,0.4015,0.0401,0.0498,5
RandomForest/Minority-F1,0.4277,0.0257,0.0319,5
RandomForest/Minority-PR-AUC,0.3753,0.0245,0.0304,5
SRC_pure/Macro-Precision,nan,nan,nan,5
SRC_pure/Macro-Recall,nan,nan,nan,5
SRC_pure/Macro-F1,nan,nan,nan,5
SRC_pure/Macro-PR-AUC,nan,nan,nan,5
SRC_pure/Accuracy,nan,nan,nan,5
SRC_pure/ROC-AUC,nan,nan,nan,5
SRC_pure/MCC,nan,nan,nan,5
SRC_pure/Minority-Precision,nan,nan,nan,5
SRC_pure/Minority-Recall,nan,nan,nan,5
SRC_pure/Minority-F1,nan,nan,nan,5
SRC_pure/Minority-PR-AUC,nan,nan,nan,5
SRC_fddl/Macro-Precision,nan,nan,nan,5
SRC_fddl/Macro-Recall,nan,nan,nan,5
SRC_fddl/Macro-F1,nan,nan,nan,5
SRC_fddl/Macro-PR-AUC,nan,nan,nan,5
SRC_fddl/Accuracy,nan,nan,nan,5
SRC_fddl/ROC-AUC,nan,nan,nan,5
SRC_fddl/MCC,nan,nan,nan,5
SRC_fddl/Minority-Precision,nan,nan,nan,5
SRC_fddl/Minority-Recall,nan,nan,nan,5
SRC_fddl/Minority-F1,nan,nan,nan,5
SRC_fddl/Minority-PR-AUC,nan,nan,nan,5
