metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.5918,0.0084,0.0104,5
LogisticRegression/Macro-Recall,0.6581,0.0211,0.0262,5
LogisticRegression/Macro-F1,0.6124,0.0110,0.0137,5
LogisticRegression/Macro-PR-AUC,0.5838,0.0115,0.0143,5
LogisticRegression/Accuracy,0.9051,0.0059,0.0073,5
LogisticRegression/ROC-AUC,0.7983,0.0203,0.0252,5
LogisticRegression/MCC,0.2407,0.0252,0.0313,5
LogisticRegression/Minority-Precision,0.2151,0.0154,0.0191,5
LogisticRegression/Minority-Recall,0.3854,0.0467,0.0579,5
LogisticRegression/Minority-F1,0.2756,0.0217,0.0269,5
LogisticRegression/Minority-PR-AUC,0.1827,0.0211,0.0262,5
GradientBoosting/Macro-Precision,0.5893,0.0221,0.0275,5
GradientBoosting/Macro-Recall,0.6157,0.0376,0.0467,5
GradientBoosting/Macro-F1,0.5992,0.0280,0.0348,5
GradientBoosting/Macro-PR-AUC,0.5831,0.0215,0.0267,5
GradientBoosting/Accuracy,0.9185,0.0082,0.0102,5
GradientBoosting/ROC-AUC,0.7524,0.0179,0.0222,5
GradientBoosting/MCC,0.2025,0.0571,0.0709,5
GradientBoosting/Minority-Precision,0.2144,0.0411,0.0511,5
GradientBoosting/Minority-Recall,0.2815,0.0822,0.1021,5
GradientBoosting/Minority-F1,0.2414,0.0564,0.0700,5
GradientBoosting/Minority-PR-AUC,0.1865,0.0422,0.0524,5
LinearSVM/Macro-Precision,0.5929,0.0138,0.0172,5
LinearSVM/Macro-Recall,0.6638,0.0122,0.0151,5
LinearSVM/Macro-F1,0.6132,0.0118,0.0147,5
LinearSVM/Macro-PR-AUC,0.5851,0.0128,0.0159,5
LinearSVM/Accuracy,0.9021,0.0143,0.0178,5
LinearSVM/ROC-AUC,0.7994,0.0185,0.0230,5
LinearSVM/MCC,0.2458,0.0156,0.0194,5
LinearSVM/Minority-Precision,0.2166,0.0285,0.0354,5
LinearSVM/Minority-Recall,0.4008,0.0386,0.0479,5
LinearSVM/Minority-F1,0.2789,0.0166,0.0206,5
LinearSVM/Minority-PR-AUC,0.1851,0.0239,0.0297,5
RandomForest/Macro-Precision,0.6226,0.0132,0.0164,5
RandomForest/Macro-Recall,0.6446,0.0243,0.0301,5
RandomForest/Macro-F1,0.6308,0.0114,0.0141,5
RandomForest/Macro-PR-AUC,0.6043,0.0197,0.0245,5
RandomForest/Accuracy,0.9276,0.0086,0.0107,5
RandomForest/ROC-AUC,0.7796,0.0146,0.0181,5
RandomForest/MCC,0.2651,0.0244,0.0302,5
RandomForest/Minority-Precision,0.2783,0.0270,0.0335,5
RandomForest/Minority-Recall,0.3323,0.0586,0.0727,5
RandomForest/Minority-F1,0.2999,0.0233,0.0289,5
RandomForest/Minority-PR-AUC,0.2270,0.0389,0.0482,5
SRC_pure/Macro-Precision,nan,nan,nan,5
SRC_pure/Macro-Recall,nan,nan,nan,5
SRC_pure/Macro-F1,nan,nan,nan,5
SRC_pure/Macro-PR-AUC,nan,nan,nan,5
SRC_pure/Accuracy,nan,nan,nan,5
SRC_pure/ROC-AUC,nan,nan,nan,5
SRC_pure/MCC,nan,nan,nan,5
SRC_pure/Minority-Precision,nan,nan,nan,5
SRC_pure/Minority-Recall,nan,nan,nan,5
SRC_pure/Minority-F1,nan,nan,nan,5
SRC_pure/Minority-PR-AUC,nan,nan,nan,5
SRC_fddl/Macro-Precision,nan,nan,nan,5
SRC_fddl/Macro-Recall,nan,nan,nan,5
SRC_fddl/Macro-F1,nan,nan,nan,5
SRC_fddl/Macro-PR-AUC,nan,nan,nan,5
SRC_fddl/Accuracy,nan,nan,nan,5
SRC_fddl/ROC-AUC,nan,nan,nan,5
SRC_fddl/MCC,nan,nan,nan,5
SRC_fddl/Minority-Precision,nan,nan,nan,5
SRC_fddl/Minority-Recall,nan,nan,nan,5
SRC_fddl/Minority-F1,nan,nan,nan,5
SRC_fddl/Minority-PR-AUC,nan,nan,nan,5
