phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.60,0.08,11.51,11.71,5
partition,0.04,0.01,0.04,0.05,5
fit_encoder_dict,101.96,2.07,98.33,103.42,5
sparse_codes_train,101.93,1.32,99.68,102.96,5
sparse_codes_val,86.07,0.86,84.59,86.72,5
sparse_codes_test,86.25,1.15,84.47,87.36,5
val_logreg,0.24,0.03,0.21,0.27,5
val_gboost,176.55,0.88,175.42,177.63,5
val_svm,34.02,2.90,30.23,37.54,5
val_rf,7.62,0.18,7.41,7.87,5
test_logreg,0.22,0.03,0.18,0.26,5
test_gboost,175.72,0.72,175.09,176.89,5
test_svm,33.55,2.80,30.35,37.04,5
test_rf,7.65,0.15,7.42,7.77,5
seed_total,823.43,8.38,815.40,836.21,5
