metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6141,0.0101,0.0905,2
LogisticRegression/Macro-Recall,0.6898,0.0344,0.3093,2
LogisticRegression/Macro-F1,0.6375,0.0020,0.0176,2
LogisticRegression/Macro-PR-AUC,0.6165,0.0089,0.0800,2
LogisticRegression/Accuracy,0.9124,0.0157,0.1410,2
LogisticRegression/ROC-AUC,0.8088,0.0150,0.1350,2
LogisticRegression/MCC,0.2930,0.0138,0.1237,2
LogisticRegression/Minority-Precision,0.2565,0.0240,0.2155,2
LogisticRegression/Minority-Recall,0.4442,0.0897,0.8064,2
LogisticRegression/Minority-F1,0.3219,0.0051,0.0457,2
LogisticRegression/Minority-PR-AUC,0.2492,0.0137,0.1227,2
GradientBoosting/Macro-Precision,0.6445,0.0091,0.0817,2
GradientBoosting/Macro-Recall,0.6840,0.0018,0.0162,2
GradientBoosting/Macro-F1,0.6612,0.0067,0.0601,2
GradientBoosting/Macro-PR-AUC,0.6467,0.0078,0.0704,2
GradientBoosting/Accuracy,0.9310,0.0034,0.0310,2
GradientBoosting/ROC-AUC,0.8072,0.0056,0.0504,2
GradientBoosting/MCC,0.3261,0.0119,0.1066,2
GradientBoosting/Minority-Precision,0.3185,0.0181,0.1624,2
GradientBoosting/Minority-Recall,0.4115,0.0000,0.0000,2
GradientBoosting/Minority-F1,0.3589,0.0115,0.1032,2
GradientBoosting/Minority-PR-AUC,0.3085,0.0151,0.1358,2
LinearSVM/Macro-Precision,0.6210,0.0103,0.0922,2
LinearSVM/Macro-Recall,0.6941,0.0027,0.0244,2
LinearSVM/Macro-F1,0.6462,0.0082,0.0740,2
LinearSVM/Macro-PR-AUC,0.6162,0.0066,0.0592,2
LinearSVM/Accuracy,0.9170,0.0071,0.0642,2
LinearSVM/ROC-AUC,0.8120,0.0171,0.1536,2
LinearSVM/MCC,0.3064,0.0109,0.0975,2
LinearSVM/Minority-Precision,0.2702,0.0210,0.1883,2
LinearSVM/Minority-Recall,0.4481,0.0136,0.1222,2
LinearSVM/Minority-F1,0.3366,0.0125,0.1120,2
LinearSVM/Minority-PR-AUC,0.2486,0.0086,0.0773,2
RandomForest/Macro-Precision,0.6869,0.0126,0.1130,2
RandomForest/Macro-Recall,0.7271,0.0256,0.2303,2
RandomForest/Macro-F1,0.7046,0.0178,0.1600,2
RandomForest/Macro-PR-AUC,0.6883,0.0292,0.2627,2
RandomForest/Accuracy,0.9415,0.0020,0.0183,2
RandomForest/ROC-AUC,0.8391,0.0012,0.0111,2
RandomForest/MCC,0.4119,0.0371,0.3335,2
RandomForest/Minority-Precision,0.3991,0.0227,0.2035,2
RandomForest/Minority-Recall,0.4904,0.0517,0.4643,2
RandomForest/Minority-F1,0.4399,0.0346,0.3108,2
RandomForest/Minority-PR-AUC,0.3900,0.0593,0.5324,2
SRC_pure/Macro-Precision,0.5251,0.0071,0.0642,2
SRC_pure/Macro-Recall,0.5754,0.0208,0.1873,2
SRC_pure/Macro-F1,0.5191,0.0107,0.0960,2
SRC_pure/Macro-PR-AUC,0.5312,0.0042,0.0380,2
SRC_pure/Accuracy,0.8214,0.0052,0.0470,2
SRC_pure/ROC-AUC,0.6751,0.0124,0.1116,2
SRC_pure/MCC,0.0870,0.0244,0.2193,2
SRC_pure/Minority-Precision,0.0891,0.0121,0.1085,2
SRC_pure/Minority-Recall,0.3038,0.0381,0.3421,2
SRC_pure/Minority-F1,0.1378,0.0184,0.1649,2
SRC_pure/Minority-PR-AUC,0.0868,0.0082,0.0734,2
SRC_fddl/Macro-Precision,0.5251,0.0059,0.0531,2
SRC_fddl/Macro-Recall,0.5715,0.0164,0.1470,2
SRC_fddl/Macro-F1,0.5211,0.0087,0.0784,2
SRC_fddl/Macro-PR-AUC,0.5320,0.0043,0.0389,2
SRC_fddl/Accuracy,0.8298,0.0041,0.0367,2
SRC_fddl/ROC-AUC,0.6769,0.0123,0.1109,2
SRC_fddl/MCC,0.0847,0.0197,0.1767,2
SRC_fddl/Minority-Precision,0.0896,0.0101,0.0908,2
SRC_fddl/Minority-Recall,0.2865,0.0299,0.2688,2
SRC_fddl/Minority-F1,0.1365,0.0151,0.1359,2
SRC_fddl/Minority-PR-AUC,0.0883,0.0084,0.0752,2
