phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.56,0.05,11.52,11.60,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,129.29,7.11,124.26,134.32,2
sparse_codes_train,4.15,0.29,3.94,4.35,2
sparse_codes_val,2.80,0.06,2.75,2.84,2
sparse_codes_test,2.79,0.22,2.63,2.95,2
val_logreg,0.07,0.00,0.07,0.07,2
val_gboost,14.87,0.05,14.84,14.91,2
val_svm,0.88,0.07,0.83,0.93,2
val_rf,1.79,0.03,1.77,1.81,2
test_logreg,0.06,0.00,0.06,0.06,2
test_gboost,14.85,0.05,14.82,14.89,2
test_svm,0.88,0.08,0.82,0.93,2
test_rf,1.79,0.03,1.77,1.81,2
src_embeddings,3.08,0.14,2.98,3.18,2
src_pure,0.84,0.49,0.49,1.19,2
src_fddl,0.73,0.46,0.41,1.06,2
seed_total,190.48,8.42,184.53,196.44,2
