metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.5893,0.0142,0.0176,5
LogisticRegression/Macro-Recall,0.6614,0.0185,0.0230,5
LogisticRegression/Macro-F1,0.6082,0.0137,0.0170,5
LogisticRegression/Macro-PR-AUC,0.5890,0.0151,0.0188,5
LogisticRegression/Accuracy,0.8982,0.0212,0.0263,5
LogisticRegression/ROC-AUC,0.7941,0.0145,0.0180,5
LogisticRegression/MCC,0.2386,0.0150,0.0186,5
LogisticRegression/Minority-Precision,0.2095,0.0300,0.0373,5
LogisticRegression/Minority-Recall,0.4000,0.0600,0.0745,5
LogisticRegression/Minority-F1,0.2712,0.0172,0.0213,5
LogisticRegression/Minority-PR-AUC,0.1938,0.0292,0.0363,5
GradientBoosting/Macro-Precision,0.6227,0.0151,0.0187,5
GradientBoosting/Macro-Recall,0.6568,0.0366,0.0455,5
GradientBoosting/Macro-F1,0.6336,0.0144,0.0179,5
GradientBoosting/Macro-PR-AUC,0.6295,0.0162,0.0201,5
GradientBoosting/Accuracy,0.9243,0.0133,0.0165,5
GradientBoosting/ROC-AUC,0.8057,0.0253,0.0315,5
GradientBoosting/MCC,0.2749,0.0311,0.0386,5
GradientBoosting/Minority-Precision,0.2774,0.0319,0.0397,5
GradientBoosting/Minority-Recall,0.3615,0.0895,0.1111,5
GradientBoosting/Minority-F1,0.3074,0.0302,0.0376,5
GradientBoosting/Minority-PR-AUC,0.2740,0.0323,0.0401,5
LinearSVM/Macro-Precision,0.6033,0.0064,0.0079,5
LinearSVM/Macro-Recall,0.6614,0.0238,0.0295,5
LinearSVM/Macro-F1,0.6227,0.0072,0.0089,5
LinearSVM/Macro-PR-AUC,0.5999,0.0143,0.0177,5
LinearSVM/Accuracy,0.9129,0.0085,0.0106,5
LinearSVM/ROC-AUC,0.8100,0.0124,0.0154,5
LinearSVM/MCC,0.2575,0.0196,0.0243,5
LinearSVM/Minority-Precision,0.2378,0.0135,0.0168,5
LinearSVM/Minority-Recall,0.3838,0.0580,0.0721,5
LinearSVM/Minority-F1,0.2918,0.0161,0.0200,5
LinearSVM/Minority-PR-AUC,0.2142,0.0277,0.0344,5
RandomForest/Macro-Precision,0.6727,0.0300,0.0373,5
RandomForest/Macro-Recall,0.7158,0.0152,0.0189,5
RandomForest/Macro-F1,0.6897,0.0195,0.0242,5
RandomForest/Macro-PR-AUC,0.6772,0.0236,0.0294,5
RandomForest/Accuracy,0.9364,0.0095,0.0118,5
RandomForest/ROC-AUC,0.8350,0.0250,0.0311,5
RandomForest/MCC,0.3848,0.0357,0.0443,5
RandomForest/Minority-Precision,0.3718,0.0603,0.0748,5
RandomForest/Minority-Recall,0.4723,0.0339,0.0421,5
RandomForest/Minority-F1,0.4129,0.0343,0.0426,5
RandomForest/Minority-PR-AUC,0.3681,0.0457,0.0567,5
SRC_pure/Macro-Precision,0.5582,0.0168,0.0209,5
SRC_pure/Macro-Recall,0.5586,0.0214,0.0265,5
SRC_pure/Macro-F1,0.5559,0.0148,0.0184,5
SRC_pure/Macro-PR-AUC,0.5494,0.0060,0.0075,5
SRC_pure/Accuracy,0.9191,0.0148,0.0184,5
SRC_pure/ROC-AUC,0.7390,0.0154,0.0191,5
SRC_pure/MCC,0.1151,0.0305,0.0379,5
SRC_pure/Minority-Precision,0.1577,0.0332,0.0412,5
SRC_pure/Minority-Recall,0.1608,0.0578,0.0717,5
SRC_pure/Minority-F1,0.1543,0.0324,0.0402,5
SRC_pure/Minority-PR-AUC,0.1186,0.0116,0.0144,5
SRC_fddl/Macro-Precision,0.5633,0.0160,0.0199,5
SRC_fddl/Macro-Recall,0.5516,0.0228,0.0283,5
SRC_fddl/Macro-F1,0.5532,0.0150,0.0186,5
SRC_fddl/Macro-PR-AUC,0.5515,0.0060,0.0075,5
SRC_fddl/Accuracy,0.9266,0.0135,0.0167,5
SRC_fddl/ROC-AUC,0.7433,0.0156,0.0193,5
SRC_fddl/MCC,0.1118,0.0293,0.0363,5
SRC_fddl/Minority-Precision,0.1688,0.0319,0.0396,5
SRC_fddl/Minority-Recall,0.1377,0.0609,0.0756,5
SRC_fddl/Minority-F1,0.1449,0.0349,0.0433,5
SRC_fddl/Minority-PR-AUC,0.1223,0.0116,0.0144,5
