phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.51,0.12,11.39,11.71,5
partition,0.03,0.00,0.03,0.04,5
fit_encoder_dict,114.75,0.55,114.34,115.69,5
sparse_codes_train,3.08,0.07,2.99,3.15,5
sparse_codes_val,2.28,0.03,2.25,2.32,5
sparse_codes_test,2.31,0.02,2.28,2.34,5
val_logreg,0.05,0.03,0.03,0.09,5
val_gboost,2.40,0.08,2.27,2.47,5
val_svm,0.13,0.01,0.13,0.14,5
val_rf,0.73,0.02,0.70,0.74,5
test_logreg,0.03,0.00,0.03,0.03,5
test_gboost,2.40,0.07,2.28,2.47,5
test_svm,0.13,0.01,0.12,0.14,5
test_rf,0.73,0.02,0.70,0.74,5
src_embeddings,1.92,0.02,1.90,1.95,5
src_pure,0.98,0.04,0.91,1.00,5
src_fddl,0.66,0.01,0.65,0.67,5
seed_total,144.15,0.83,143.33,145.54,5
