phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.49,0.04,11.46,11.55,5
partition,0.03,0.00,0.03,0.04,5
fit_wl_fddl,653.88,4.63,647.73,660.50,5
sparse_codes_train,3.94,0.22,3.75,4.31,5
sparse_codes_val,3.17,0.14,2.91,3.26,5
sparse_codes_test,2.84,0.03,2.82,2.89,5
val_logreg,0.11,0.00,0.11,0.11,5
val_gboost,40.09,0.26,39.68,40.35,5
val_svm,1.99,0.06,1.92,2.04,5
val_rf,2.74,0.05,2.68,2.81,5
test_logreg,0.11,0.00,0.10,0.11,5
test_gboost,40.08,0.27,39.67,40.35,5
test_svm,1.98,0.06,1.91,2.04,5
test_rf,2.73,0.06,2.66,2.80,5
src_embeddings,3.12,0.12,3.04,3.33,5
src_pure,1.36,0.04,1.30,1.42,5
src_fddl,1.30,0.02,1.28,1.33,5
seed_total,770.97,4.39,765.12,776.97,5
