metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Accuracy,0.9374,0.0066,0.0082,5
LogisticRegression/Precision,0.3645,0.0308,0.0383,5
LogisticRegression/Recall,0.4285,0.0453,0.0563,5
LogisticRegression/F1-Score,0.3911,0.0085,0.0106,5
LogisticRegression/ROC-AUC,0.8438,0.0172,0.0214,5
LogisticRegression/PR-AUC,0.3150,0.0230,0.0285,5
GradientBoosting/Accuracy,0.9449,0.0031,0.0039,5
GradientBoosting/Precision,0.4180,0.0185,0.0230,5
GradientBoosting/Recall,0.4285,0.0586,0.0727,5
GradientBoosting/F1-Score,0.4206,0.0210,0.0261,5
GradientBoosting/ROC-AUC,0.8348,0.0163,0.0202,5
GradientBoosting/PR-AUC,0.3357,0.0298,0.0370,5
LinearSVM/Accuracy,0.9393,0.0092,0.0115,5
LinearSVM/Precision,0.3825,0.0459,0.0570,5
LinearSVM/Recall,0.4323,0.0507,0.0630,5
LinearSVM/F1-Score,0.4015,0.0154,0.0191,5
LinearSVM/ROC-AUC,0.8395,0.0151,0.0188,5
LinearSVM/PR-AUC,0.3133,0.0250,0.0311,5
RandomForest/Accuracy,0.9528,0.0051,0.0064,5
RandomForest/Precision,0.5038,0.0536,0.0665,5
RandomForest/Recall,0.4462,0.0276,0.0343,5
RandomForest/F1-Score,0.4710,0.0207,0.0258,5
RandomForest/ROC-AUC,0.8655,0.0110,0.0137,5
RandomForest/PR-AUC,0.4349,0.0126,0.0157,5
SRC_pure/balanced_acc,0.6809,0.0096,0.0119,5
SRC_pure/precision,0.2265,0.0124,0.0153,5
SRC_pure/recall,0.4354,0.0239,0.0297,5
SRC_pure/f1_score,0.2975,0.0107,0.0132,5
SRC_pure/roc_auc,0.7289,0.0167,0.0208,5
SRC_pure/pr_auc,0.2048,0.0175,0.0218,5
SRC_fddl/balanced_acc,0.6773,0.0122,0.0152,5
SRC_fddl/precision,0.2375,0.0133,0.0165,5
SRC_fddl/recall,0.4216,0.0301,0.0374,5
SRC_fddl/f1_score,0.3032,0.0115,0.0143,5
SRC_fddl/roc_auc,0.7302,0.0166,0.0206,5
SRC_fddl/pr_auc,0.2045,0.0171,0.0212,5
