metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6475,0.0177,0.0220,5
LogisticRegression/Macro-Recall,0.6819,0.0333,0.0414,5
LogisticRegression/Macro-F1,0.6588,0.0067,0.0083,5
LogisticRegression/Macro-PR-AUC,0.6432,0.0121,0.0150,5
LogisticRegression/Accuracy,0.9304,0.0137,0.0171,5
LogisticRegression/ROC-AUC,0.8227,0.0136,0.0169,5
LogisticRegression/MCC,0.3248,0.0134,0.0167,5
LogisticRegression/Minority-Precision,0.3246,0.0388,0.0482,5
LogisticRegression/Minority-Recall,0.4077,0.0848,0.1053,5
LogisticRegression/Minority-F1,0.3544,0.0119,0.0147,5
LogisticRegression/Minority-PR-AUC,0.3005,0.0251,0.0312,5
GradientBoosting/Macro-Precision,0.6435,0.0186,0.0231,5
GradientBoosting/Macro-Recall,0.6562,0.0218,0.0271,5
GradientBoosting/Macro-F1,0.6479,0.0123,0.0153,5
GradientBoosting/Macro-PR-AUC,0.6297,0.0113,0.0140,5
GradientBoosting/Accuracy,0.9337,0.0076,0.0094,5
GradientBoosting/ROC-AUC,0.8138,0.0074,0.0091,5
GradientBoosting/MCC,0.2982,0.0252,0.0313,5
GradientBoosting/Minority-Precision,0.3192,0.0379,0.0470,5
GradientBoosting/Minority-Recall,0.3500,0.0517,0.0642,5
GradientBoosting/Minority-F1,0.3307,0.0240,0.0298,5
GradientBoosting/Minority-PR-AUC,0.2739,0.0221,0.0275,5
LinearSVM/Macro-Precision,0.6597,0.0139,0.0173,5
LinearSVM/Macro-Recall,0.7049,0.0095,0.0118,5
LinearSVM/Macro-F1,0.6780,0.0069,0.0086,5
LinearSVM/Macro-PR-AUC,0.6512,0.0090,0.0112,5
LinearSVM/Accuracy,0.9338,0.0062,0.0077,5
LinearSVM/ROC-AUC,0.8295,0.0112,0.0140,5
LinearSVM/MCC,0.3612,0.0102,0.0127,5
LinearSVM/Minority-Precision,0.3467,0.0287,0.0356,5
LinearSVM/Minority-Recall,0.4523,0.0262,0.0325,5
LinearSVM/Minority-F1,0.3911,0.0107,0.0133,5
LinearSVM/Minority-PR-AUC,0.3161,0.0193,0.0240,5
RandomForest/Macro-Precision,0.7264,0.0278,0.0345,5
RandomForest/Macro-Recall,0.6983,0.0263,0.0326,5
RandomForest/Macro-F1,0.7098,0.0204,0.0253,5
RandomForest/Macro-PR-AUC,0.6889,0.0100,0.0124,5
RandomForest/Accuracy,0.9511,0.0047,0.0058,5
RandomForest/ROC-AUC,0.8426,0.0068,0.0085,5
RandomForest/MCC,0.4225,0.0399,0.0495,5
RandomForest/Minority-Precision,0.4813,0.0555,0.0689,5
RandomForest/Minority-Recall,0.4192,0.0549,0.0681,5
RandomForest/Minority-F1,0.4452,0.0393,0.0488,5
RandomForest/Minority-PR-AUC,0.3907,0.0205,0.0255,5
SRC_pure/Macro-Precision,0.6096,0.0138,0.0171,5
SRC_pure/Macro-Recall,0.7126,0.0095,0.0118,5
SRC_pure/Macro-F1,0.6382,0.0149,0.0185,5
SRC_pure/Macro-PR-AUC,0.6129,0.0111,0.0137,5
SRC_pure/Accuracy,0.9032,0.0100,0.0125,5
SRC_pure/ROC-AUC,0.8154,0.0099,0.0123,5
SRC_pure/MCC,0.3050,0.0237,0.0295,5
SRC_pure/Minority-Precision,0.2450,0.0273,0.0339,5
SRC_pure/Minority-Recall,0.5023,0.0180,0.0223,5
SRC_pure/Minority-F1,0.3286,0.0244,0.0303,5
SRC_pure/Minority-PR-AUC,0.2401,0.0217,0.0269,5
SRC_fddl/Macro-Precision,0.6112,0.0147,0.0182,5
SRC_fddl/Macro-Recall,0.7081,0.0073,0.0091,5
SRC_fddl/Macro-F1,0.6392,0.0150,0.0186,5
SRC_fddl/Macro-PR-AUC,0.6170,0.0116,0.0144,5
SRC_fddl/Accuracy,0.9057,0.0103,0.0128,5
SRC_fddl/ROC-AUC,0.8163,0.0102,0.0127,5
SRC_fddl/MCC,0.3039,0.0232,0.0288,5
SRC_fddl/Minority-Precision,0.2488,0.0292,0.0363,5
SRC_fddl/Minority-Recall,0.4900,0.0145,0.0181,5
SRC_fddl/Minority-F1,0.3292,0.0244,0.0303,5
SRC_fddl/Minority-PR-AUC,0.2482,0.0227,0.0282,5
