phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,12.41,0.87,11.80,13.03,2
partition,0.04,0.00,0.04,0.04,2
fit_encoder_dict,1799.36,20.67,1784.74,1813.98,2
sparse_codes_train,4.24,0.13,4.14,4.33,2
sparse_codes_val,3.62,0.09,3.56,3.69,2
sparse_codes_test,3.21,0.01,3.21,3.22,2
val_logreg,0.33,0.01,0.32,0.33,2
val_gboost,80.90,0.05,80.86,80.94,2
val_svm,8.41,0.16,8.30,8.53,2
val_rf,3.77,0.04,3.74,3.80,2
test_logreg,0.31,0.00,0.31,0.32,2
test_gboost,80.88,0.29,80.68,81.09,2
test_svm,8.27,0.11,8.20,8.35,2
test_rf,3.76,0.05,3.73,3.79,2
src_embeddings,3.01,0.04,2.98,3.04,2
src_pure,1.95,0.09,1.89,2.02,2
src_fddl,1.75,0.02,1.74,1.77,2
seed_total,2016.30,21.83,2000.86,2031.73,2
