metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.7300,0.0085,0.0767,2
LogisticRegression/Macro-Recall,0.6920,0.0137,0.1228,2
LogisticRegression/Macro-F1,0.7088,0.0048,0.0435,2
LogisticRegression/Macro-PR-AUC,0.6808,0.0182,0.1636,2
LogisticRegression/Accuracy,0.9601,0.0013,0.0116,2
LogisticRegression/ROC-AUC,0.8520,0.0129,0.1160,2
LogisticRegression/MCC,0.4201,0.0072,0.0643,2
LogisticRegression/Minority-Precision,0.4841,0.0182,0.1635,2
LogisticRegression/Minority-Recall,0.4014,0.0299,0.2684,2
LogisticRegression/Minority-F1,0.4382,0.0104,0.0933,2
LogisticRegression/Minority-PR-AUC,0.3710,0.0356,0.3199,2
GradientBoosting/Macro-Precision,0.6531,0.0200,0.1799,2
GradientBoosting/Macro-Recall,0.7055,0.0049,0.0438,2
GradientBoosting/Macro-F1,0.6744,0.0156,0.1397,2
GradientBoosting/Macro-PR-AUC,0.6599,0.0002,0.0021,2
GradientBoosting/Accuracy,0.9427,0.0063,0.0567,2
GradientBoosting/ROC-AUC,0.8423,0.0012,0.0104,2
GradientBoosting/MCC,0.3545,0.0274,0.2465,2
GradientBoosting/Minority-Precision,0.3288,0.0398,0.3573,2
GradientBoosting/Minority-Recall,0.4484,0.0033,0.0298,2
GradientBoosting/Minority-F1,0.3788,0.0277,0.2489,2
GradientBoosting/Minority-PR-AUC,0.3297,0.0005,0.0041,2
LinearSVM/Macro-Precision,0.7152,0.0475,0.4265,2
LinearSVM/Macro-Recall,0.7080,0.0256,0.2304,2
LinearSVM/Macro-F1,0.7080,0.0098,0.0880,2
LinearSVM/Macro-PR-AUC,0.6932,0.0032,0.0284,2
LinearSVM/Accuracy,0.9562,0.0089,0.0798,2
LinearSVM/ROC-AUC,0.8465,0.0051,0.0461,2
LinearSVM/MCC,0.4200,0.0207,0.1864,2
LinearSVM/Minority-Precision,0.4530,0.0972,0.8730,2
LinearSVM/Minority-Recall,0.4390,0.0631,0.5667,2
LinearSVM/Minority-F1,0.4387,0.0148,0.1329,2
LinearSVM/Minority-PR-AUC,0.3965,0.0063,0.0569,2
RandomForest/Macro-Precision,0.7278,0.0434,0.3901,2
RandomForest/Macro-Recall,0.7049,0.0140,0.1261,2
RandomForest/Macro-F1,0.7136,0.0115,0.1031,2
RandomForest/Macro-PR-AUC,0.6888,0.0066,0.0589,2
RandomForest/Accuracy,0.9588,0.0067,0.0602,2
RandomForest/ROC-AUC,0.8605,0.0177,0.1593,2
RandomForest/MCC,0.4303,0.0265,0.2380,2
RandomForest/Minority-Precision,0.4786,0.0881,0.7914,2
RandomForest/Minority-Recall,0.4296,0.0365,0.3281,2
RandomForest/Minority-F1,0.4487,0.0194,0.1740,2
RandomForest/Minority-PR-AUC,0.3870,0.0152,0.1368,2
SRC_pure/Macro-Precision,0.5547,0.0028,0.0250,2
SRC_pure/Macro-Recall,0.7709,0.0118,0.1057,2
SRC_pure/Macro-F1,0.5396,0.0051,0.0455,2
SRC_pure/Macro-PR-AUC,0.6276,0.0103,0.0927,2
SRC_pure/Accuracy,0.7761,0.0042,0.0382,2
SRC_pure/ROC-AUC,0.8322,0.0167,0.1497,2
SRC_pure/MCC,0.2435,0.0115,0.1032,2
SRC_pure/Minority-Precision,0.1214,0.0045,0.0405,2
SRC_pure/Minority-Recall,0.7653,0.0199,0.1790,2
SRC_pure/Minority-F1,0.2096,0.0075,0.0670,2
SRC_pure/Minority-PR-AUC,0.2652,0.0198,0.1775,2
SRC_fddl/Macro-Precision,0.5548,0.0031,0.0275,2
SRC_fddl/Macro-Recall,0.7719,0.0134,0.1200,2
SRC_fddl/Macro-F1,0.5397,0.0054,0.0486,2
SRC_fddl/Macro-PR-AUC,0.6274,0.0102,0.0912,2
SRC_fddl/Accuracy,0.7759,0.0042,0.0382,2
SRC_fddl/ROC-AUC,0.8322,0.0167,0.1497,2
SRC_fddl/MCC,0.2443,0.0128,0.1152,2
SRC_fddl/Minority-Precision,0.1216,0.0049,0.0440,2
SRC_fddl/Minority-Recall,0.7676,0.0232,0.2088,2
SRC_fddl/Minority-F1,0.2100,0.0082,0.0734,2
SRC_fddl/Minority-PR-AUC,0.2649,0.0194,0.1746,2
