metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6971,0.0256,0.0318,5
LogisticRegression/Macro-Recall,0.6887,0.0133,0.0165,5
LogisticRegression/Macro-F1,0.6916,0.0123,0.0152,5
LogisticRegression/Macro-PR-AUC,0.6537,0.0174,0.0216,5
LogisticRegression/Accuracy,0.9455,0.0059,0.0073,5
LogisticRegression/ROC-AUC,0.8308,0.0193,0.0240,5
LogisticRegression/MCC,0.3847,0.0251,0.0312,5
LogisticRegression/Minority-Precision,0.4234,0.0516,0.0641,5
LogisticRegression/Minority-Recall,0.4054,0.0311,0.0386,5
LogisticRegression/Minority-F1,0.4118,0.0222,0.0275,5
LogisticRegression/Minority-PR-AUC,0.3209,0.0333,0.0413,5
GradientBoosting/Macro-Precision,0.6639,0.0171,0.0212,5
GradientBoosting/Macro-Recall,0.6595,0.0191,0.0237,5
GradientBoosting/Macro-F1,0.6609,0.0137,0.0170,5
GradientBoosting/Macro-PR-AUC,0.6355,0.0180,0.0223,5
GradientBoosting/Accuracy,0.9400,0.0045,0.0056,5
GradientBoosting/ROC-AUC,0.8024,0.0111,0.0138,5
GradientBoosting/MCC,0.3228,0.0276,0.0343,5
GradientBoosting/Minority-Precision,0.3598,0.0340,0.0422,5
GradientBoosting/Minority-Recall,0.3500,0.0419,0.0520,5
GradientBoosting/Minority-F1,0.3532,0.0267,0.0331,5
GradientBoosting/Minority-PR-AUC,0.2868,0.0358,0.0444,5
LinearSVM/Macro-Precision,0.6554,0.0129,0.0160,5
LinearSVM/Macro-Recall,0.6919,0.0240,0.0298,5
LinearSVM/Macro-F1,0.6695,0.0040,0.0049,5
LinearSVM/Macro-PR-AUC,0.6398,0.0203,0.0252,5
LinearSVM/Accuracy,0.9334,0.0072,0.0090,5
LinearSVM/ROC-AUC,0.8147,0.0215,0.0267,5
LinearSVM/MCC,0.3440,0.0110,0.0136,5
LinearSVM/Minority-Precision,0.3395,0.0281,0.0348,5
LinearSVM/Minority-Recall,0.4254,0.0582,0.0723,5
LinearSVM/Minority-F1,0.3742,0.0098,0.0121,5
LinearSVM/Minority-PR-AUC,0.2947,0.0392,0.0487,5
RandomForest/Macro-Precision,0.7404,0.0200,0.0248,5
RandomForest/Macro-Recall,0.7077,0.0391,0.0486,5
RandomForest/Macro-F1,0.7194,0.0224,0.0278,5
RandomForest/Macro-PR-AUC,0.6997,0.0327,0.0406,5
RandomForest/Accuracy,0.9531,0.0042,0.0052,5
RandomForest/ROC-AUC,0.8488,0.0369,0.0459,5
RandomForest/MCC,0.4440,0.0378,0.0469,5
RandomForest/Minority-Precision,0.5083,0.0424,0.0527,5
RandomForest/Minority-Recall,0.4369,0.0850,0.1056,5
RandomForest/Minority-F1,0.4634,0.0452,0.0561,5
RandomForest/Minority-PR-AUC,0.4119,0.0618,0.0767,5
SRC_pure/Macro-Precision,nan,nan,nan,5
SRC_pure/Macro-Recall,nan,nan,nan,5
SRC_pure/Macro-F1,nan,nan,nan,5
SRC_pure/Macro-PR-AUC,nan,nan,nan,5
SRC_pure/Accuracy,nan,nan,nan,5
SRC_pure/ROC-AUC,nan,nan,nan,5
SRC_pure/MCC,nan,nan,nan,5
SRC_pure/Minority-Precision,nan,nan,nan,5
SRC_pure/Minority-Recall,nan,nan,nan,5
SRC_pure/Minority-F1,nan,nan,nan,5
SRC_pure/Minority-PR-AUC,nan,nan,nan,5
SRC_fddl/Macro-Precision,nan,nan,nan,5
SRC_fddl/Macro-Recall,nan,nan,nan,5
SRC_fddl/Macro-F1,nan,nan,nan,5
SRC_fddl/Macro-PR-AUC,nan,nan,nan,5
SRC_fddl/Accuracy,nan,nan,nan,5
SRC_fddl/ROC-AUC,nan,nan,nan,5
SRC_fddl/MCC,nan,nan,nan,5
SRC_fddl/Minority-Precision,nan,nan,nan,5
SRC_fddl/Minority-Recall,nan,nan,nan,5
SRC_fddl/Minority-F1,nan,nan,nan,5
SRC_fddl/Minority-PR-AUC,nan,nan,nan,5
