phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,11.54,0.08,11.49,11.68,5
partition,0.04,0.00,0.03,0.04,5
fit_encoder_dict,11.92,0.12,11.79,12.05,5
sparse_codes_train,3.85,0.25,3.53,4.07,5
sparse_codes_val,2.88,0.21,2.71,3.16,5
sparse_codes_test,2.78,0.03,2.74,2.81,5
val_logreg,0.05,0.00,0.04,0.05,5
val_gboost,1.75,0.01,1.74,1.76,5
val_svm,0.10,0.00,0.10,0.11,5
val_rf,0.70,0.01,0.69,0.71,5
test_logreg,0.04,0.00,0.04,0.04,5
test_gboost,1.74,0.01,1.73,1.75,5
test_svm,0.10,0.00,0.10,0.10,5
test_rf,0.70,0.01,0.69,0.71,5
seed_total,38.27,0.24,37.89,38.52,5
