metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6715,0.0512,0.0635,5
LogisticRegression/Macro-Recall,0.6753,0.0450,0.0559,5
LogisticRegression/Macro-F1,0.6631,0.0217,0.0269,5
LogisticRegression/Macro-PR-AUC,0.6456,0.0191,0.0237,5
LogisticRegression/Accuracy,0.9353,0.0183,0.0227,5
LogisticRegression/ROC-AUC,0.8245,0.0086,0.0107,5
LogisticRegression/MCC,0.3384,0.0426,0.0529,5
LogisticRegression/Minority-Precision,0.3733,0.1054,0.1308,5
LogisticRegression/Minority-Recall,0.3885,0.1117,0.1387,5
LogisticRegression/Minority-F1,0.3603,0.0404,0.0502,5
LogisticRegression/Minority-PR-AUC,0.3047,0.0391,0.0486,5
GradientBoosting/Macro-Precision,0.6680,0.0224,0.0279,5
GradientBoosting/Macro-Recall,0.6617,0.0257,0.0319,5
GradientBoosting/Macro-F1,0.6623,0.0150,0.0186,5
GradientBoosting/Macro-PR-AUC,0.6524,0.0111,0.0138,5
GradientBoosting/Accuracy,0.9400,0.0079,0.0098,5
GradientBoosting/ROC-AUC,0.8082,0.0129,0.0160,5
GradientBoosting/MCC,0.3277,0.0280,0.0347,5
GradientBoosting/Minority-Precision,0.3678,0.0461,0.0572,5
GradientBoosting/Minority-Recall,0.3546,0.0600,0.0746,5
GradientBoosting/Minority-F1,0.3561,0.0295,0.0367,5
GradientBoosting/Minority-PR-AUC,0.3195,0.0232,0.0288,5
LinearSVM/Macro-Precision,0.6540,0.0198,0.0246,5
LinearSVM/Macro-Recall,0.6902,0.0375,0.0465,5
LinearSVM/Macro-F1,0.6665,0.0185,0.0230,5
LinearSVM/Macro-PR-AUC,0.6419,0.0173,0.0215,5
LinearSVM/Accuracy,0.9323,0.0127,0.0158,5
LinearSVM/ROC-AUC,0.8259,0.0112,0.0139,5
LinearSVM/MCC,0.3399,0.0358,0.0444,5
LinearSVM/Minority-Precision,0.3369,0.0411,0.0510,5
LinearSVM/Minority-Recall,0.4231,0.0893,0.1108,5
LinearSVM/Minority-F1,0.3689,0.0357,0.0443,5
LinearSVM/Minority-PR-AUC,0.2975,0.0357,0.0443,5
RandomForest/Macro-Precision,0.7092,0.0287,0.0356,5
RandomForest/Macro-Recall,0.7160,0.0153,0.0190,5
RandomForest/Macro-F1,0.7107,0.0142,0.0176,5
RandomForest/Macro-PR-AUC,0.6986,0.0186,0.0231,5
RandomForest/Accuracy,0.9466,0.0081,0.0101,5
RandomForest/ROC-AUC,0.8394,0.0091,0.0113,5
RandomForest/MCC,0.4236,0.0259,0.0322,5
RandomForest/Minority-Precision,0.4449,0.0584,0.0725,5
RandomForest/Minority-Recall,0.4615,0.0387,0.0481,5
RandomForest/Minority-F1,0.4495,0.0247,0.0307,5
RandomForest/Minority-PR-AUC,0.4106,0.0364,0.0452,5
SRC_pure/Macro-Precision,nan,nan,nan,5
SRC_pure/Macro-Recall,nan,nan,nan,5
SRC_pure/Macro-F1,nan,nan,nan,5
SRC_pure/Macro-PR-AUC,nan,nan,nan,5
SRC_pure/Accuracy,nan,nan,nan,5
SRC_pure/ROC-AUC,nan,nan,nan,5
SRC_pure/MCC,nan,nan,nan,5
SRC_pure/Minority-Precision,nan,nan,nan,5
SRC_pure/Minority-Recall,nan,nan,nan,5
SRC_pure/Minority-F1,nan,nan,nan,5
SRC_pure/Minority-PR-AUC,nan,nan,nan,5
SRC_fddl/Macro-Precision,nan,nan,nan,5
SRC_fddl/Macro-Recall,nan,nan,nan,5
SRC_fddl/Macro-F1,nan,nan,nan,5
SRC_fddl/Macro-PR-AUC,nan,nan,nan,5
SRC_fddl/Accuracy,nan,nan,nan,5
SRC_fddl/ROC-AUC,nan,nan,nan,5
SRC_fddl/MCC,nan,nan,nan,5
SRC_fddl/Minority-Precision,nan,nan,nan,5
SRC_fddl/Minority-Recall,nan,nan,nan,5
SRC_fddl/Minority-F1,nan,nan,nan,5
SRC_fddl/Minority-PR-AUC,nan,nan,nan,5
