phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,16.12,0.63,15.00,16.51,5
partition,0.10,0.02,0.07,0.11,5
fit_encoder_dict,81.18,1.57,78.65,82.80,5
sparse_codes_train,7.76,0.23,7.39,8.03,5
sparse_codes_val,5.49,0.13,5.33,5.64,5
sparse_codes_test,5.40,0.37,4.97,5.89,5
val_logreg,0.14,0.01,0.12,0.16,5
val_gboost,2.38,0.24,2.13,2.60,5
val_svm,0.20,0.03,0.17,0.23,5
val_rf,1.01,0.11,0.92,1.13,5
test_logreg,0.13,0.01,0.11,0.15,5
test_gboost,2.30,0.22,2.12,2.57,5
test_svm,0.18,0.02,0.17,0.21,5
test_rf,0.97,0.10,0.91,1.14,5
seed_total,123.37,1.61,120.81,125.14,5
