metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.5644,0.0075,0.0187,3
LogisticRegression/Macro-Recall,0.6472,0.0410,0.1020,3
LogisticRegression/Macro-F1,0.5784,0.0102,0.0254,3
LogisticRegression/Macro-PR-AUC,0.5673,0.0083,0.0207,3
LogisticRegression/Accuracy,0.8735,0.0233,0.0578,3
LogisticRegression/ROC-AUC,0.7677,0.0276,0.0684,3
LogisticRegression/MCC,0.1935,0.0339,0.0842,3
LogisticRegression/Minority-Precision,0.1606,0.0140,0.0349,3
LogisticRegression/Minority-Recall,0.3974,0.1081,0.2684,3
LogisticRegression/Minority-F1,0.2259,0.0234,0.0582,3
LogisticRegression/Minority-PR-AUC,0.1520,0.0131,0.0326,3
GradientBoosting/Macro-Precision,0.6047,0.0106,0.0264,3
GradientBoosting/Macro-Recall,0.6245,0.0203,0.0504,3
GradientBoosting/Macro-F1,0.6117,0.0045,0.0113,3
GradientBoosting/Macro-PR-AUC,0.5873,0.0088,0.0219,3
GradientBoosting/Accuracy,0.9232,0.0105,0.0260,3
GradientBoosting/ROC-AUC,0.7507,0.0236,0.0586,3
GradientBoosting/MCC,0.2270,0.0100,0.0248,3
GradientBoosting/Minority-Precision,0.2445,0.0232,0.0577,3
GradientBoosting/Minority-Recall,0.2949,0.0539,0.1339,3
GradientBoosting/Minority-F1,0.2639,0.0125,0.0309,3
GradientBoosting/Minority-PR-AUC,0.1941,0.0150,0.0373,3
LinearSVM/Macro-Precision,0.5672,0.0082,0.0204,3
LinearSVM/Macro-Recall,0.6562,0.0550,0.1366,3
LinearSVM/Macro-F1,0.5791,0.0074,0.0185,3
LinearSVM/Macro-PR-AUC,0.5705,0.0078,0.0194,3
LinearSVM/Accuracy,0.8698,0.0377,0.0936,3
LinearSVM/ROC-AUC,0.7694,0.0247,0.0612,3
LinearSVM/MCC,0.2020,0.0344,0.0854,3
LinearSVM/Minority-Precision,0.1652,0.0197,0.0489,3
LinearSVM/Minority-Recall,0.4205,0.1558,0.3870,3
LinearSVM/Minority-F1,0.2298,0.0179,0.0444,3
LinearSVM/Minority-PR-AUC,0.1584,0.0128,0.0317,3
RandomForest/Macro-Precision,0.6243,0.0098,0.0244,3
RandomForest/Macro-Recall,0.6846,0.0327,0.0813,3
RandomForest/Macro-F1,0.6451,0.0088,0.0218,3
RandomForest/Macro-PR-AUC,0.6362,0.0090,0.0224,3
RandomForest/Accuracy,0.9204,0.0113,0.0280,3
RandomForest/ROC-AUC,0.7895,0.0249,0.0618,3
RandomForest/MCC,0.3017,0.0235,0.0583,3
RandomForest/Minority-Precision,0.2776,0.0216,0.0536,3
RandomForest/Minority-Recall,0.4244,0.0802,0.1991,3
RandomForest/Minority-F1,0.3325,0.0189,0.0469,3
RandomForest/Minority-PR-AUC,0.2902,0.0153,0.0380,3
SRC_pure/Macro-Precision,nan,nan,nan,3
SRC_pure/Macro-Recall,nan,nan,nan,3
SRC_pure/Macro-F1,nan,nan,nan,3
SRC_pure/Macro-PR-AUC,nan,nan,nan,3
SRC_pure/Accuracy,nan,nan,nan,3
SRC_pure/ROC-AUC,nan,nan,nan,3
SRC_pure/MCC,nan,nan,nan,3
SRC_pure/Minority-Precision,nan,nan,nan,3
SRC_pure/Minority-Recall,nan,nan,nan,3
SRC_pure/Minority-F1,nan,nan,nan,3
SRC_pure/Minority-PR-AUC,nan,nan,nan,3
SRC_fddl/Macro-Precision,nan,nan,nan,3
SRC_fddl/Macro-Recall,nan,nan,nan,3
SRC_fddl/Macro-F1,nan,nan,nan,3
SRC_fddl/Macro-PR-AUC,nan,nan,nan,3
SRC_fddl/Accuracy,nan,nan,nan,3
SRC_fddl/ROC-AUC,nan,nan,nan,3
SRC_fddl/MCC,nan,nan,nan,3
SRC_fddl/Minority-Precision,nan,nan,nan,3
SRC_fddl/Minority-Recall,nan,nan,nan,3
SRC_fddl/Minority-F1,nan,nan,nan,3
SRC_fddl/Minority-PR-AUC,nan,nan,nan,3
