metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.5808,0.0019,0.0167,2
LogisticRegression/Macro-Recall,0.6349,0.0029,0.0262,2
LogisticRegression/Macro-F1,0.5981,0.0023,0.0205,2
LogisticRegression/Macro-PR-AUC,0.5727,0.0039,0.0350,2
LogisticRegression/Accuracy,0.9035,0.0006,0.0057,2
LogisticRegression/ROC-AUC,0.7720,0.0305,0.2738,2
LogisticRegression/MCC,0.2088,0.0047,0.0419,2
LogisticRegression/Minority-Precision,0.1953,0.0034,0.0310,2
LogisticRegression/Minority-Recall,0.3385,0.0054,0.0489,2
LogisticRegression/Minority-F1,0.2477,0.0042,0.0380,2
LogisticRegression/Minority-PR-AUC,0.1628,0.0026,0.0231,2
GradientBoosting/Macro-Precision,0.6095,0.0122,0.1100,2
GradientBoosting/Macro-Recall,0.6672,0.0338,0.3033,2
GradientBoosting/Macro-F1,0.6280,0.0017,0.0153,2
GradientBoosting/Macro-PR-AUC,0.6051,0.0038,0.0338,2
GradientBoosting/Accuracy,0.9145,0.0170,0.1525,2
GradientBoosting/ROC-AUC,0.7918,0.0124,0.1116,2
GradientBoosting/MCC,0.2689,0.0123,0.1103,2
GradientBoosting/Minority-Precision,0.2497,0.0282,0.2533,2
GradientBoosting/Minority-Recall,0.3942,0.0897,0.8064,2
GradientBoosting/Minority-F1,0.3015,0.0063,0.0562,2
GradientBoosting/Minority-PR-AUC,0.2265,0.0056,0.0507,2
LinearSVM/Macro-Precision,0.5795,0.0078,0.0703,2
LinearSVM/Macro-Recall,0.6251,0.0053,0.0472,2
LinearSVM/Macro-F1,0.5946,0.0058,0.0525,2
LinearSVM/Macro-PR-AUC,0.5722,0.0027,0.0240,2
LinearSVM/Accuracy,0.9058,0.0097,0.0871,2
LinearSVM/ROC-AUC,0.7696,0.0304,0.2729,2
LinearSVM/MCC,0.1992,0.0056,0.0506,2
LinearSVM/Minority-Precision,0.1937,0.0163,0.1465,2
LinearSVM/Minority-Recall,0.3154,0.0218,0.1955,2
LinearSVM/Minority-F1,0.2394,0.0062,0.0558,2
LinearSVM/Minority-PR-AUC,0.1624,0.0001,0.0008,2
RandomForest/Macro-Precision,0.7425,0.0084,0.0753,2
RandomForest/Macro-Recall,0.6477,0.0060,0.0539,2
RandomForest/Macro-F1,0.6818,0.0027,0.0239,2
RandomForest/Macro-PR-AUC,0.6688,0.0060,0.0542,2
RandomForest/Accuracy,0.9541,0.0009,0.0080,2
RandomForest/ROC-AUC,0.8287,0.0202,0.1815,2
RandomForest/MCC,0.3784,0.0011,0.0103,2
RandomForest/Minority-Precision,0.5184,0.0173,0.1557,2
RandomForest/Minority-Recall,0.3096,0.0136,0.1222,2
RandomForest/Minority-F1,0.3874,0.0058,0.0522,2
RandomForest/Minority-PR-AUC,0.3515,0.0089,0.0801,2
SRC_pure/Macro-Precision,nan,nan,nan,2
SRC_pure/Macro-Recall,nan,nan,nan,2
SRC_pure/Macro-F1,nan,nan,nan,2
SRC_pure/Macro-PR-AUC,nan,nan,nan,2
SRC_pure/Accuracy,nan,nan,nan,2
SRC_pure/ROC-AUC,nan,nan,nan,2
SRC_pure/MCC,nan,nan,nan,2
SRC_pure/Minority-Precision,nan,nan,nan,2
SRC_pure/Minority-Recall,nan,nan,nan,2
SRC_pure/Minority-F1,nan,nan,nan,2
SRC_pure/Minority-PR-AUC,nan,nan,nan,2
SRC_fddl/Macro-Precision,nan,nan,nan,2
SRC_fddl/Macro-Recall,nan,nan,nan,2
SRC_fddl/Macro-F1,nan,nan,nan,2
SRC_fddl/Macro-PR-AUC,nan,nan,nan,2
SRC_fddl/Accuracy,nan,nan,nan,2
SRC_fddl/ROC-AUC,nan,nan,nan,2
SRC_fddl/MCC,nan,nan,nan,2
SRC_fddl/Minority-Precision,nan,nan,nan,2
SRC_fddl/Minority-Recall,nan,nan,nan,2
SRC_fddl/Minority-F1,nan,nan,nan,2
SRC_fddl/Minority-PR-AUC,nan,nan,nan,2
