phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,12.00,0.05,11.96,12.03,2
partition,0.04,0.00,0.03,0.04,2
fit_encoder_dict,80.96,0.61,80.53,81.39,2
sparse_codes_train,2.22,0.01,2.21,2.23,2
sparse_codes_val,2.12,0.01,2.12,2.13,2
sparse_codes_test,1.68,0.00,1.68,1.68,2
val_logreg,0.04,0.00,0.04,0.04,2
val_gboost,1.47,0.01,1.46,1.48,2
val_svm,0.10,0.00,0.10,0.10,2
val_rf,0.64,0.00,0.64,0.64,2
test_logreg,0.04,0.00,0.04,0.04,2
test_gboost,1.49,0.03,1.47,1.51,2
test_svm,0.09,0.01,0.09,0.10,2
test_rf,0.64,0.00,0.64,0.65,2
seed_total,104.67,0.58,104.26,105.08,2
