phase,mean_sec,std_sec,min_sec,max_sec,n
data_load,21.83,1.12,20.64,22.96,5
partition,0.10,0.01,0.08,0.12,5
fit_encoder_dict,1096.24,53.64,1001.31,1133.09,5
sparse_codes_train,364.02,28.69,314.95,389.60,5
sparse_codes_val,270.20,21.20,236.85,291.42,5
sparse_codes_test,274.32,23.49,234.60,292.97,5
val_logreg,0.33,0.05,0.26,0.39,5
val_gboost,45.48,5.82,35.84,50.42,5
val_svm,2.16,0.30,1.88,2.58,5
val_rf,5.45,0.98,4.09,6.84,5
test_logreg,0.31,0.04,0.26,0.36,5
test_gboost,45.35,5.38,35.96,49.08,5
test_svm,2.05,0.28,1.80,2.42,5
test_rf,5.43,0.92,4.02,6.58,5
seed_total,2133.28,135.02,1895.11,2225.11,5
