metric,mean,std_ddof1,ci95_halfwidth,n
LogisticRegression/Macro-Precision,0.6163,0.0107,0.0133,5
LogisticRegression/Macro-Recall,0.6878,0.0220,0.0274,5
LogisticRegression/Macro-F1,0.6403,0.0115,0.0143,5
LogisticRegression/Macro-PR-AUC,0.6065,0.0184,0.0228,5
LogisticRegression/Accuracy,0.9152,0.0078,0.0097,5
LogisticRegression/ROC-AUC,0.8173,0.0122,0.0151,5
LogisticRegression/MCC,0.2951,0.0245,0.0305,5
LogisticRegression/Minority-Precision,0.2613,0.0212,0.0263,5
LogisticRegression/Minority-Recall,0.4369,0.0511,0.0634,5
LogisticRegression/Minority-F1,0.3258,0.0217,0.0269,5
LogisticRegression/Minority-PR-AUC,0.2271,0.0358,0.0445,5
GradientBoosting/Macro-Precision,0.6653,0.0253,0.0314,5
GradientBoosting/Macro-Recall,0.6594,0.0215,0.0267,5
GradientBoosting/Macro-F1,0.6594,0.0132,0.0164,5
GradientBoosting/Macro-PR-AUC,0.6446,0.0111,0.0138,5
GradientBoosting/Accuracy,0.9391,0.0095,0.0118,5
GradientBoosting/ROC-AUC,0.8023,0.0125,0.0155,5
GradientBoosting/MCC,0.3223,0.0229,0.0284,5
GradientBoosting/Minority-Precision,0.3625,0.0520,0.0646,5
GradientBoosting/Minority-Recall,0.3508,0.0527,0.0654,5
GradientBoosting/Minority-F1,0.3509,0.0245,0.0305,5
GradientBoosting/Minority-PR-AUC,0.3052,0.0220,0.0273,5
LinearSVM/Macro-Precision,0.6185,0.0135,0.0168,5
LinearSVM/Macro-Recall,0.6767,0.0369,0.0459,5
LinearSVM/Macro-F1,0.6386,0.0178,0.0221,5
LinearSVM/Macro-PR-AUC,0.6013,0.0147,0.0182,5
LinearSVM/Accuracy,0.9191,0.0097,0.0121,5
LinearSVM/ROC-AUC,0.8156,0.0128,0.0159,5
LinearSVM/MCC,0.2883,0.0401,0.0498,5
LinearSVM/Minority-Precision,0.2668,0.0260,0.0323,5
LinearSVM/Minority-Recall,0.4092,0.0846,0.1051,5
LinearSVM/Minority-F1,0.3202,0.0360,0.0447,5
LinearSVM/Minority-PR-AUC,0.2173,0.0285,0.0353,5
RandomForest/Macro-Precision,0.7001,0.0349,0.0434,5
RandomForest/Macro-Recall,0.6979,0.0241,0.0299,5
RandomForest/Macro-F1,0.6976,0.0246,0.0305,5
RandomForest/Macro-PR-AUC,0.6798,0.0216,0.0268,5
RandomForest/Accuracy,0.9456,0.0077,0.0096,5
RandomForest/ROC-AUC,0.8274,0.0194,0.0241,5
RandomForest/MCC,0.3969,0.0490,0.0608,5
RandomForest/Minority-Precision,0.4286,0.0692,0.0859,5
RandomForest/Minority-Recall,0.4246,0.0500,0.0621,5
RandomForest/Minority-F1,0.4237,0.0460,0.0571,5
RandomForest/Minority-PR-AUC,0.3738,0.0437,0.0542,5
SRC_pure/Macro-Precision,nan,nan,nan,5
SRC_pure/Macro-Recall,nan,nan,nan,5
SRC_pure/Macro-F1,nan,nan,nan,5
SRC_pure/Macro-PR-AUC,nan,nan,nan,5
SRC_pure/Accuracy,nan,nan,nan,5
SRC_pure/ROC-AUC,nan,nan,nan,5
SRC_pure/MCC,nan,nan,nan,5
SRC_pure/Minority-Precision,nan,nan,nan,5
SRC_pure/Minority-Recall,nan,nan,nan,5
SRC_pure/Minority-F1,nan,nan,nan,5
SRC_pure/Minority-PR-AUC,nan,nan,nan,5
SRC_fddl/Macro-Precision,nan,nan,nan,5
SRC_fddl/Macro-Recall,nan,nan,nan,5
SRC_fddl/Macro-F1,nan,nan,nan,5
SRC_fddl/Macro-PR-AUC,nan,nan,nan,5
SRC_fddl/Accuracy,nan,nan,nan,5
SRC_fddl/ROC-AUC,nan,nan,nan,5
SRC_fddl/MCC,nan,nan,nan,5
SRC_fddl/Minority-Precision,nan,nan,nan,5
SRC_fddl/Minority-Recall,nan,nan,nan,5
SRC_fddl/Minority-F1,nan,nan,nan,5
SRC_fddl/Minority-PR-AUC,nan,nan,nan,5
